ID_HORARIO_MATRICULADO,FECHA_MATRICULA,ID_USUARIO,ID_CURSO,ID_HORARIO,ID_ESTADO
83,30/10/2025,243,565,364,2
84,22/01/2025,706,553,294,2
85,05/09/2025,102,261,735,1
86,29/03/2025,160,552,118,2
87,29/10/2025,396,940,182,2
88,12/02/2025,468,643,167,1
89,24/09/2025,830,694,240,2
90,14/03/2025,128,566,407,2
91,28/12/2025,690,183,82,2
92,23/03/2025,235,554,119,1
93,25/03/2025,610,706,706,1
94,09/07/2025,704,366,472,1
95,13/08/2025,190,940,196,2
96,25/10/2025,350,979,618,1
97,14/02/2025,860,595,879,1
98,30/07/2025,363,525,797,1
99,22/09/2025,568,839,881,2
100,21/05/2025,552,229,88,1
101,24/02/2025,334,535,978,1
102,18/09/2025,330,552,987,1
103,10/08/2025,494,145,763,2
104,21/07/2025,93,652,204,2
105,07/04/2025,511,959,340,2
106,13/05/2025,688,716,173,2
107,18/11/2025,862,141,248,1
108,28/08/2025,487,488,463,1
109,10/07/2025,6,758,127,2
110,22/11/2025,406,855,394,1
111,08/06/2025,130,195,460,1
112,31/08/2025,212,629,16,1
113,09/05/2025,364,170,424,1
114,15/11/2025,193,765,733,2
115,19/10/2025,666,398,184,1
116,09/11/2025,252,212,916,2
117,30/09/2025,19,476,32,1
118,07/03/2025,988,978,93,1
119,16/06/2025,768,412,903,1
120,13/02/2025,257,74,362,2
121,21/07/2025,378,606,15,1
122,23/01/2025,582,263,732,1
123,13/06/2025,469,308,848,1
124,12/12/2025,590,936,54,2
125,13/05/2025,298,640,624,2
126,09/05/2025,148,277,525,2
127,01/09/2025,170,392,618,2
128,08/03/2025,417,626,567,1
129,23/04/2025,416,125,420,2
130,25/08/2025,657,122,537,1
131,23/11/2025,733,669,102,2
132,07/12/2025,38,8,991,1
133,22/05/2025,826,194,59,1
134,29/05/2025,701,388,131,2
135,20/07/2025,120,216,982,1
136,04/06/2025,9,678,376,2
137,11/02/2025,421,239,274,1
138,02/01/2025,480,143,919,1
139,14/07/2025,442,972,51,1
140,30/07/2025,384,301,174,1
141,16/06/2025,279,293,862,1
142,30/04/2025,255,86,938,2
143,03/07/2025,440,470,137,1
144,02/09/2025,894,400,348,1
145,09/04/2025,479,130,364,2
146,17/05/2025,201,489,73,2
147,11/02/2025,933,294,429,1
148,18/09/2025,81,47,334,2
149,19/09/2025,135,953,731,2
150,20/02/2025,1000,896,817,2
151,18/08/2025,969,966,733,1
152,22/10/2025,345,156,546,1
153,26/11/2025,867,504,658,1
154,25/03/2025,95,192,578,1
155,13/07/2025,271,293,31,2
156,28/11/2025,224,190,385,1
157,19/10/2025,921,72,450,2
158,06/12/2025,208,517,561,2
159,11/08/2025,578,4,252,2
160,04/07/2025,915,2,837,2
161,28/04/2025,420,94,363,2
162,25/04/2025,739,149,587,1
163,16/02/2025,895,871,939,1
164,18/07/2025,119,382,365,1
165,04/01/2025,557,276,227,2
166,15/04/2025,327,953,103,1
167,01/12/2025,913,666,228,2
168,19/10/2025,9,54,950,1
169,15/03/2025,121,270,999,1
170,10/01/2025,623,92,224,2
171,09/01/2025,691,923,789,1
172,09/04/2025,52,785,542,2
173,23/08/2025,967,691,485,2
174,04/04/2025,653,492,132,2
175,14/02/2025,929,137,883,2
176,23/09/2025,118,334,7,1
177,20/09/2025,424,218,607,1
178,14/09/2025,892,260,225,2
179,24/08/2025,386,926,469,1
180,06/05/2025,754,79,931,2
181,23/01/2025,859,907,177,1
182,28/02/2025,377,717,166,2
183,03/03/2025,801,983,779,1
184,03/06/2025,913,806,339,1
185,22/07/2025,474,207,169,2
186,09/09/2025,147,114,732,1
187,05/09/2025,906,761,865,2
188,06/12/2025,365,406,493,1
189,12/04/2025,580,811,885,1
190,13/05/2025,40,981,531,1
191,15/05/2025,986,559,852,1
192,28/09/2025,737,673,829,2
193,04/11/2025,984,427,652,1
194,09/12/2025,75,215,921,1
195,28/08/2025,958,267,569,1
196,07/01/2025,794,282,689,1
197,03/08/2025,546,255,360,2
198,14/08/2025,344,650,917,1
199,16/06/2025,984,202,728,2
200,19/03/2025,95,104,409,1
201,30/11/2025,649,189,551,2
202,16/01/2025,163,730,753,1
203,29/04/2025,503,648,633,2
204,15/01/2025,114,766,599,2
205,15/01/2025,108,271,919,2
206,03/10/2025,652,355,172,2
207,08/09/2025,487,163,258,1
208,15/10/2025,925,519,332,1
209,26/03/2025,519,625,912,2
210,10/07/2025,289,985,771,1
211,30/10/2025,757,278,319,1
212,17/08/2025,275,72,560,1
213,08/01/2025,734,931,536,2
214,03/10/2025,803,176,322,1
215,17/08/2025,212,519,268,2
216,31/03/2025,307,444,950,2
217,27/08/2025,753,608,232,2
218,08/11/2025,948,311,725,2
219,06/11/2025,905,535,305,2
220,06/07/2025,92,169,769,1
221,10/08/2025,362,937,368,1
222,26/02/2025,570,304,129,2
223,14/02/2025,963,5,501,1
224,22/01/2025,593,176,31,2
225,16/05/2025,414,852,178,1
226,10/06/2025,42,896,823,2
227,26/11/2025,158,10,329,1
228,02/01/2025,359,340,157,2
229,16/06/2025,748,312,47,2
230,12/06/2025,204,107,884,2
231,03/01/2025,26,468,487,1
232,28/08/2025,109,346,725,1
233,14/11/2025,48,442,977,1
234,09/01/2025,306,170,744,1
235,13/03/2025,202,902,648,1
236,18/06/2025,776,148,959,1
237,11/08/2025,551,836,675,1
238,03/03/2025,76,663,980,1
239,06/09/2025,42,329,90,2
240,20/03/2025,805,216,60,1
241,03/03/2025,847,70,727,1
242,03/01/2025,331,181,281,1
243,11/04/2025,792,908,281,2
244,06/09/2025,923,851,334,1
245,09/08/2025,189,729,138,2
246,29/05/2025,598,307,200,1
247,15/04/2025,43,961,337,2
248,22/07/2025,576,971,748,1
249,15/02/2025,719,929,587,2
250,11/10/2025,833,416,816,1
251,26/09/2025,47,537,158,2
252,11/05/2025,481,689,133,2
253,30/08/2025,891,387,583,2
254,15/01/2025,926,209,762,2
255,19/01/2025,182,924,584,2
256,17/12/2025,292,728,59,1
257,11/05/2025,305,476,661,2
258,16/01/2025,540,35,44,1
259,09/05/2025,151,39,253,1
260,25/08/2025,766,735,202,2
261,31/10/2025,380,933,347,1
262,20/04/2025,963,589,414,2
263,16/09/2025,118,835,468,2
264,10/12/2025,755,992,521,2
265,30/04/2025,767,674,943,1
266,19/12/2025,329,984,916,2
267,17/05/2025,973,319,864,1
268,22/02/2025,954,136,469,1
269,06/06/2025,902,484,592,2
270,02/02/2025,47,169,426,1
271,05/11/2025,289,409,68,1
272,20/06/2025,754,762,874,1
273,27/01/2025,175,267,322,1
274,02/07/2025,232,339,81,1
275,12/02/2025,850,700,383,2
276,07/07/2025,792,222,917,1
277,15/04/2025,900,391,903,2
278,19/04/2025,617,238,509,1
279,14/12/2025,139,583,68,1
280,23/04/2025,580,709,243,1
281,01/01/2025,894,736,41,1
282,06/12/2025,431,600,972,1
283,19/12/2025,504,22,573,1
284,02/05/2025,267,608,654,2
285,02/02/2025,426,460,378,1
286,03/11/2025,518,207,743,2
287,26/10/2025,234,812,385,2
288,11/03/2025,488,121,888,1
289,15/09/2025,411,504,641,1
290,04/10/2025,50,257,787,1
291,01/06/2025,806,630,771,2
292,02/10/2025,986,487,941,2
293,24/06/2025,700,36,611,2
294,25/09/2025,205,471,311,1
295,18/11/2025,617,407,164,1
296,24/01/2025,21,626,774,2
297,06/08/2025,936,867,751,2
298,06/09/2025,416,537,354,2
299,06/01/2025,58,793,379,2
300,13/06/2025,181,559,516,2
301,24/05/2025,378,462,143,1
302,27/07/2025,190,541,230,1
303,10/05/2025,474,689,113,2
304,14/02/2025,982,256,723,1
305,18/09/2025,375,689,106,2
306,19/10/2025,383,415,958,1
307,02/12/2025,158,806,631,2
308,06/09/2025,806,840,471,2
309,12/07/2025,344,152,666,1
310,20/02/2025,133,806,77,1
311,10/06/2025,486,157,704,2
312,19/08/2025,495,87,438,1
313,08/03/2025,613,931,193,1
314,27/07/2025,214,243,418,2
315,24/01/2025,622,277,78,2
316,10/06/2025,699,296,591,2
317,27/09/2025,958,252,679,1
318,01/08/2025,326,140,438,2
319,20/05/2025,462,358,682,1
320,12/04/2025,768,720,927,2
321,03/05/2025,431,189,778,2
322,29/04/2025,738,308,472,1
323,11/10/2025,298,626,122,1
324,13/04/2025,34,319,298,2
325,06/06/2025,280,48,967,2
326,18/09/2025,631,903,68,2
327,27/04/2025,524,234,996,1
328,16/06/2025,400,971,355,2
329,20/12/2025,624,560,832,1
330,03/03/2025,45,813,899,1
331,25/01/2025,780,498,74,1
332,10/06/2025,205,329,183,2
333,10/12/2025,883,123,366,1
334,23/09/2025,799,940,51,2
335,07/05/2025,182,691,168,1
336,28/05/2025,737,599,391,2
337,22/08/2025,398,919,460,2
338,06/05/2025,908,543,996,1
339,19/01/2025,434,165,446,1
340,14/07/2025,722,602,423,1
341,18/12/2025,3,454,347,1
342,20/08/2025,521,434,301,1
343,22/06/2025,42,187,283,2
344,16/06/2025,175,29,373,2
345,27/12/2025,571,550,112,2
346,26/07/2025,830,360,869,2
347,27/01/2025,168,45,94,2
348,23/10/2025,78,525,587,2
349,11/03/2025,543,277,397,1
350,02/06/2025,472,551,498,1
351,07/09/2025,111,684,939,2
352,18/05/2025,865,3,911,2
353,19/10/2025,794,291,162,2
354,22/07/2025,576,931,962,1
355,22/02/2025,301,638,236,2
356,25/01/2025,495,776,147,1
357,22/10/2025,986,299,500,1
358,28/08/2025,201,774,835,2
359,27/12/2025,139,346,822,2
360,26/03/2025,966,267,250,1
361,31/05/2025,983,471,444,1
362,20/07/2025,331,799,174,1
363,31/10/2025,719,820,421,2
364,08/01/2025,94,843,493,2
365,25/02/2025,356,265,300,1
366,10/01/2025,922,380,420,1
367,22/02/2025,185,7,754,1
368,13/07/2025,630,192,810,2
369,06/06/2025,970,682,965,2
370,11/02/2025,297,332,272,1
371,08/07/2025,480,839,122,2
372,14/02/2025,956,37,379,1
373,28/01/2025,782,598,366,2
374,20/09/2025,824,69,524,2
375,13/07/2025,849,890,355,2
376,14/04/2025,405,30,746,2
377,09/04/2025,467,500,767,2
378,15/03/2025,835,959,895,1
379,11/10/2025,565,9,757,1
380,02/07/2025,673,509,189,2
381,25/08/2025,126,986,528,1
382,16/09/2025,315,646,569,1
383,24/08/2025,947,173,27,2
384,22/04/2025,408,411,376,1
385,06/08/2025,893,945,850,1
386,22/02/2025,906,404,315,2
387,07/02/2025,550,80,419,1
388,19/12/2025,490,434,324,2
389,17/12/2025,590,186,968,2
390,02/12/2025,380,324,641,2
391,31/10/2025,765,683,840,2
392,01/01/2025,547,673,741,1
393,15/05/2025,184,752,627,1
394,04/05/2025,174,765,940,2
395,11/09/2025,715,745,942,1
396,31/01/2025,159,81,696,2
397,28/09/2025,480,434,28,2
398,30/06/2025,914,936,89,2
399,08/06/2025,556,982,228,2
400,29/03/2025,805,299,725,1
401,08/08/2025,364,871,913,1
402,06/12/2025,99,12,738,2
403,19/03/2025,710,289,28,1
404,28/03/2025,493,711,292,1
405,22/09/2025,786,529,812,2
406,13/02/2025,860,698,109,1
407,26/04/2025,90,668,980,2
408,26/11/2025,427,935,376,1
409,30/10/2025,102,969,732,2
410,03/10/2025,734,394,540,1
411,12/02/2025,927,558,590,2
412,21/05/2025,973,924,181,1
413,15/04/2025,564,681,689,1
414,29/04/2025,316,369,485,2
415,02/10/2025,806,116,626,2
416,10/06/2025,850,342,146,2
417,07/06/2025,937,738,756,1
418,14/10/2025,718,783,210,2
419,17/03/2025,160,312,582,1
420,01/08/2025,130,184,335,2
421,10/07/2025,974,882,696,2
422,18/01/2025,905,714,408,2
423,24/02/2025,497,914,695,1
424,05/03/2025,619,316,61,1
425,15/02/2025,129,40,70,1
426,28/03/2025,535,37,59,2
427,19/05/2025,844,910,101,1
428,19/07/2025,702,1,495,1
429,02/10/2025,143,71,158,1
430,25/07/2025,901,380,505,1
431,30/07/2025,954,828,30,1
432,04/10/2025,197,445,680,1
433,15/10/2025,225,258,641,2
434,02/12/2025,509,500,513,2
435,24/02/2025,871,652,556,1
436,30/09/2025,992,322,186,2
437,05/10/2025,730,971,303,2
438,23/09/2025,205,489,312,2
439,13/07/2025,339,222,34,2
440,07/12/2025,483,743,220,2
441,19/04/2025,789,750,240,2
442,13/09/2025,279,350,679,2
443,22/12/2025,284,244,544,1
444,29/04/2025,497,116,533,1
445,15/06/2025,921,245,936,2
446,08/01/2025,320,592,744,1
447,28/04/2025,180,690,995,1
448,30/10/2025,935,92,928,1
449,08/12/2025,210,31,99,2
450,16/07/2025,695,672,351,1
451,01/09/2025,637,415,840,2
452,09/09/2025,476,766,789,1
453,25/11/2025,662,954,951,1
454,14/09/2025,616,430,145,2
455,04/08/2025,421,111,778,2
456,15/05/2025,871,887,154,2
457,14/12/2025,103,997,384,1
458,28/10/2025,677,720,376,1
459,30/06/2025,121,231,478,1
460,21/08/2025,549,487,797,1
461,15/07/2025,42,275,373,1
462,03/12/2025,298,975,876,2
463,22/10/2025,770,905,199,1
464,14/03/2025,815,441,782,2
465,03/05/2025,847,917,197,2
466,27/08/2025,931,795,916,2
467,07/10/2025,307,423,657,1
468,11/01/2025,529,49,505,2
469,01/10/2025,20,759,92,1
470,21/11/2025,265,655,416,1
471,14/09/2025,759,788,966,1
472,03/04/2025,680,352,852,2
473,18/04/2025,609,478,953,1
474,16/12/2025,606,634,231,1
475,17/05/2025,936,347,256,1
476,11/02/2025,939,844,87,2
477,08/03/2025,27,873,49,1
478,14/12/2025,146,672,912,2
479,26/09/2025,309,759,572,1
480,24/08/2025,649,968,100,1
481,05/02/2025,992,26,124,1
482,12/10/2025,986,434,876,2
483,26/09/2025,604,430,727,2
484,30/06/2025,133,17,921,2
485,19/08/2025,119,759,406,2
486,16/03/2025,730,376,222,2
487,04/05/2025,808,580,812,1
488,31/03/2025,379,651,255,2
489,10/03/2025,74,162,643,2
490,21/06/2025,682,755,85,2
491,14/03/2025,320,212,822,1
492,06/08/2025,404,560,998,2
493,08/05/2025,405,389,175,2
494,14/12/2025,275,327,20,1
495,09/06/2025,101,753,540,2
496,02/12/2025,964,967,975,2
497,25/10/2025,327,514,431,1
498,05/04/2025,24,373,872,2
499,19/10/2025,928,294,802,1
500,02/04/2025,334,701,283,2
501,01/03/2025,470,194,700,2
502,08/08/2025,301,860,152,1
503,25/05/2025,383,643,531,1
504,02/04/2025,291,71,736,1
505,01/08/2025,243,383,571,1
506,19/12/2025,651,976,872,2
507,27/09/2025,486,607,291,1
508,17/12/2025,302,429,774,2
509,30/11/2025,924,521,963,2
510,26/04/2025,391,198,210,1
511,03/04/2025,428,213,50,2
512,22/05/2025,889,878,181,1
513,20/10/2025,87,661,793,2
514,11/12/2025,148,126,611,1
515,18/01/2025,148,301,795,2
516,05/01/2025,482,538,472,2
517,17/05/2025,234,318,474,2
518,02/12/2025,980,413,383,1
519,07/10/2025,933,610,112,2
520,23/09/2025,732,645,768,1
521,21/09/2025,407,513,97,2
522,04/08/2025,250,140,913,2
523,28/07/2025,79,171,575,2
524,16/04/2025,527,905,280,1
525,15/04/2025,723,115,268,2
526,26/03/2025,102,550,515,2
527,04/06/2025,783,415,846,2
528,15/09/2025,53,200,483,1
529,25/02/2025,425,622,502,1
530,10/06/2025,434,538,222,2
531,13/06/2025,381,576,191,1
532,19/03/2025,122,313,695,2
533,08/12/2025,154,227,994,1
534,20/03/2025,47,631,145,2
535,24/03/2025,637,590,505,2
536,27/03/2025,261,339,55,2
537,15/08/2025,852,675,665,2
538,04/11/2025,787,813,600,2
539,18/11/2025,12,473,952,1
540,01/11/2025,979,70,772,1
541,02/05/2025,818,504,482,2
542,08/03/2025,955,244,741,2
543,18/03/2025,640,226,218,2
544,25/09/2025,140,662,179,2
545,10/01/2025,415,463,992,2
546,07/12/2025,119,790,691,2
547,20/11/2025,52,523,677,2
548,15/01/2025,938,207,206,2
549,25/06/2025,993,866,644,2
550,20/08/2025,188,204,427,1
551,14/05/2025,622,952,582,2
552,18/06/2025,219,815,193,1
553,18/06/2025,25,923,476,1
554,13/05/2025,48,874,514,2
555,25/11/2025,885,514,224,1
556,23/09/2025,437,209,92,2
557,21/02/2025,216,585,201,2
558,15/12/2025,913,908,114,2
559,04/05/2025,750,580,560,2
560,15/07/2025,631,152,604,1
561,13/01/2025,148,896,407,2
562,11/01/2025,913,259,33,2
563,27/07/2025,171,121,669,2
564,27/04/2025,989,55,495,1
565,24/05/2025,890,295,653,2
566,14/06/2025,401,636,191,1
567,05/01/2025,267,591,436,2
568,18/02/2025,398,339,896,2
569,23/03/2025,622,101,331,1
570,24/02/2025,931,800,472,2
571,31/07/2025,970,87,815,2
572,07/10/2025,128,758,933,1
573,24/02/2025,227,996,611,2
574,08/12/2025,779,726,984,1
575,09/10/2025,17,791,314,2
576,25/09/2025,386,949,868,2
577,05/12/2025,284,640,808,1
578,08/07/2025,537,331,528,1
579,20/06/2025,303,998,328,2
580,16/10/2025,986,375,750,1
581,21/07/2025,86,492,735,2
582,05/05/2025,878,282,715,2
583,29/11/2025,218,464,946,1
584,07/06/2025,460,131,28,2
585,18/01/2025,96,649,816,1
586,03/11/2025,588,665,805,2
587,27/07/2025,182,180,911,1
588,09/08/2025,341,839,569,2
589,09/02/2025,599,422,824,1
590,04/12/2025,784,668,383,2
591,14/12/2025,257,247,101,2
592,25/07/2025,779,222,43,2
593,20/06/2025,58,46,182,2
594,01/04/2025,347,370,732,1
595,02/10/2025,658,17,517,1
596,22/01/2025,608,901,534,1
597,24/03/2025,793,111,821,1
598,09/08/2025,870,454,857,2
599,01/02/2025,605,416,931,1
600,24/07/2025,647,918,772,1
601,04/08/2025,532,671,632,2
602,28/12/2025,91,247,389,1
603,04/05/2025,617,550,327,2
604,07/02/2025,306,829,273,2
605,21/07/2025,577,898,405,1
606,29/11/2025,31,528,832,1
607,11/03/2025,515,634,537,2
608,11/01/2025,322,87,109,1
609,17/02/2025,252,797,791,1
610,01/07/2025,22,691,612,2
611,16/01/2025,451,587,818,1
612,11/04/2025,723,438,232,1
613,25/04/2025,784,64,144,1
614,04/12/2025,491,399,546,2
615,16/04/2025,720,890,238,2
616,10/08/2025,147,866,998,2
617,10/08/2025,886,799,990,2
618,14/10/2025,384,54,570,1
619,23/07/2025,872,834,842,2
620,02/05/2025,590,584,651,1
621,09/12/2025,612,513,800,1
622,16/03/2025,46,216,308,1
623,20/12/2025,912,454,615,2
624,02/10/2025,86,484,564,1
625,03/01/2025,602,192,116,1
626,21/09/2025,623,218,532,2
627,01/07/2025,699,959,934,1
628,15/10/2025,264,172,688,2
629,11/02/2025,481,5,875,1
630,13/03/2025,391,991,116,1
631,09/04/2025,753,642,654,1
632,29/01/2025,170,215,184,1
633,12/08/2025,817,642,534,2
634,25/07/2025,426,434,227,2
635,18/08/2025,985,602,989,2
636,28/04/2025,877,233,906,2
637,26/06/2025,332,422,832,2
638,19/10/2025,461,203,189,1
639,30/08/2025,330,638,145,2
640,15/08/2025,167,354,304,1
641,30/04/2025,309,545,54,2
642,17/08/2025,136,318,897,1
643,29/11/2025,204,696,754,2
644,01/09/2025,124,628,999,2
645,26/11/2025,839,374,480,1
646,27/06/2025,38,343,165,1
647,30/01/2025,924,389,328,2
648,15/02/2025,257,204,764,1
649,22/07/2025,888,142,964,2
650,02/02/2025,896,148,230,1
651,11/02/2025,164,262,148,2
652,01/10/2025,75,203,806,1
653,19/09/2025,622,177,499,1
654,30/07/2025,768,533,394,2
655,20/07/2025,332,818,136,1
656,04/01/2025,344,785,882,2
657,01/06/2025,809,990,606,1
658,05/03/2025,661,886,399,1
659,17/10/2025,709,271,832,1
660,01/10/2025,30,259,935,1
661,06/03/2025,805,825,154,2
662,22/02/2025,288,801,885,2
663,21/09/2025,44,880,99,1
664,25/11/2025,190,785,187,2
665,05/03/2025,639,538,529,2
666,30/08/2025,61,608,253,1
667,10/07/2025,96,751,453,2
668,16/06/2025,483,358,872,1
669,04/03/2025,462,515,562,1
670,22/12/2025,268,275,51,2
671,14/08/2025,929,77,812,2
672,26/07/2025,168,653,143,2
673,19/04/2025,63,466,176,2
674,15/08/2025,453,638,113,2
675,25/05/2025,35,492,107,1
676,27/03/2025,166,661,449,2
677,04/10/2025,151,173,185,2
678,29/04/2025,475,919,227,2
679,01/02/2025,794,427,956,2
680,25/09/2025,244,890,516,1
681,06/11/2025,611,18,873,1
682,24/01/2025,137,634,927,1
683,25/12/2025,954,643,13,2
684,02/05/2025,970,271,85,2
685,23/09/2025,794,529,934,2
686,31/08/2025,84,375,97,2
687,08/02/2025,504,98,929,1
688,25/05/2025,127,923,328,1
689,06/05/2025,394,486,281,2
690,30/10/2025,973,396,650,2
691,25/05/2025,832,665,624,1
692,30/04/2025,459,15,195,2
693,19/06/2025,132,343,135,1
694,06/04/2025,353,381,236,2
695,03/01/2025,155,619,693,1
696,02/05/2025,330,648,824,1
697,20/02/2025,720,174,649,2
698,21/04/2025,544,651,584,2
699,10/09/2025,614,37,769,2
700,08/04/2025,244,60,515,2
701,27/12/2025,703,566,539,1
702,13/12/2025,67,123,856,1
703,23/07/2025,324,417,192,1
704,22/02/2025,189,88,774,2
705,10/11/2025,295,367,595,1
706,27/12/2025,716,681,942,2
707,16/08/2025,923,288,620,2
708,28/02/2025,448,402,293,2
709,10/06/2025,703,196,868,2
710,12/03/2025,709,153,947,2
711,14/02/2025,546,897,605,2
712,16/05/2025,855,1,562,2
713,06/01/2025,496,750,713,2
714,25/02/2025,840,705,323,1
715,16/07/2025,516,572,940,2
716,03/05/2025,865,497,534,2
717,20/07/2025,489,50,176,1
718,08/06/2025,197,819,592,1
719,17/12/2025,929,259,127,1
720,06/04/2025,361,308,136,1
721,19/09/2025,140,939,841,2
722,25/11/2025,189,529,705,1
723,17/10/2025,218,926,754,1
724,14/08/2025,923,490,666,2
725,22/05/2025,87,635,704,2
726,17/12/2025,827,687,971,1
727,24/06/2025,984,79,963,2
728,13/05/2025,601,312,711,2
729,01/09/2025,471,97,451,1
730,07/07/2025,369,642,13,1
731,12/08/2025,308,851,760,1
732,24/02/2025,835,391,523,2
733,11/09/2025,491,754,680,2
734,11/08/2025,603,629,96,2
735,09/11/2025,275,759,492,1
736,23/08/2025,827,49,170,1
737,11/12/2025,220,649,640,2
738,12/02/2025,832,586,475,2
739,04/12/2025,874,263,581,2
740,02/10/2025,232,787,255,2
741,11/10/2025,39,446,217,1
742,02/10/2025,19,212,697,2
743,27/01/2025,915,510,757,2
744,12/07/2025,987,463,217,2
745,03/09/2025,961,800,80,2
746,29/03/2025,497,220,651,1
747,11/05/2025,191,322,918,2
748,02/04/2025,30,592,234,1
749,24/11/2025,914,742,226,1
750,14/08/2025,605,821,174,1
751,27/11/2025,387,281,606,1
752,19/04/2025,356,75,928,1
753,27/03/2025,624,931,466,2
754,20/12/2025,83,456,75,1
755,28/10/2025,51,671,228,2
756,27/02/2025,561,761,749,2
757,17/12/2025,239,158,165,1
758,20/03/2025,917,262,753,2
759,06/10/2025,677,599,205,1
760,18/07/2025,917,848,255,1
761,20/03/2025,521,325,63,1
762,21/12/2025,638,372,36,2
763,13/05/2025,917,432,17,1
764,05/06/2025,723,816,390,1
765,26/07/2025,489,907,364,1
766,07/12/2025,584,221,741,2
767,13/08/2025,526,76,416,1
768,08/04/2025,494,209,420,2
769,15/05/2025,519,143,610,1
770,29/06/2025,77,315,441,2
771,25/10/2025,928,628,738,1
772,20/08/2025,418,265,1000,1
773,12/10/2025,278,90,559,2
774,28/05/2025,304,555,719,2
775,10/10/2025,444,398,56,1
776,25/09/2025,973,745,215,2
777,31/07/2025,186,621,843,1
778,18/04/2025,478,729,374,1
779,16/11/2025,710,6,960,2
780,11/10/2025,453,2,630,2
781,08/02/2025,198,779,690,2
782,21/04/2025,763,532,447,2
783,18/11/2025,457,816,411,2
784,17/02/2025,21,439,213,1
785,16/07/2025,582,840,300,1
786,05/04/2025,876,742,282,2
787,22/12/2025,712,36,599,1
788,18/02/2025,725,383,281,1
789,24/12/2025,990,490,998,2
790,27/12/2025,987,830,444,2
791,13/02/2025,291,821,129,1
792,12/12/2025,798,790,213,2
793,26/12/2025,536,103,229,1
794,23/10/2025,391,933,527,2
795,23/11/2025,244,664,750,2
796,25/07/2025,828,260,416,2
797,23/06/2025,160,948,839,2
798,27/06/2025,638,717,252,1
799,27/07/2025,959,600,722,1
800,14/07/2025,715,484,863,2
801,05/11/2025,844,744,360,2
802,11/02/2025,863,138,348,2
803,16/07/2025,605,189,552,1
804,08/07/2025,80,136,385,2
805,09/04/2025,457,984,23,1
806,03/11/2025,119,38,375,2
807,28/12/2025,485,823,43,2
808,20/08/2025,449,393,279,2
809,26/09/2025,327,549,630,2
810,06/07/2025,334,897,208,1
811,08/03/2025,855,6,959,2
812,08/07/2025,775,279,87,1
813,09/07/2025,886,350,79,1
814,06/06/2025,551,592,876,2
815,21/11/2025,977,107,770,1
