ID_CURSO,NOMBRE,CREDITOS,CUPOS,ID_ESTADO
424,Public Speaking,2,16,2
425,History of Art,2,30,2
426,Music Theory,4,32,1
427,Environmental Studies,3,20,1
428,Philosophy of Ethics,4,20,2
429,Statistics for Business,4,20,2
430,Philosophy of Ethics,4,14,1
431,Philosophy of Ethics,4,35,1
432,Introduction to Psychology,3,29,1
433,Statistics for Business,2,16,1
434,Music Theory,2,19,2
435,Chemistry Lab,3,28,2
436,Literature and Society,4,21,1
437,Public Speaking,4,21,1
438,Statistics for Business,4,20,1
439,Literature and Society,4,31,1
440,Computer Science 101,2,32,1
441,Public Speaking,3,18,2
442,Literature and Society,4,35,2
443,Literature and Society,3,15,1
444,Environmental Studies,2,19,1
445,Environmental Studies,3,32,1
446,Environmental Studies,4,16,2
447,Environmental Studies,4,21,1
448,Literature and Society,4,15,1
449,Statistics for Business,4,15,2
450,Literature and Society,2,25,2
451,Philosophy of Ethics,2,16,2
452,Introduction to Psychology,3,26,1
453,Music Theory,3,22,1
454,Introduction to Psychology,4,27,1
455,Music Theory,3,34,2
456,Environmental Studies,2,17,2
457,Literature and Society,2,32,2
458,History of Art,3,19,2
459,Music Theory,2,15,2
460,Music Theory,4,33,1
461,Computer Science 101,3,33,1
462,Public Speaking,3,20,1
463,Computer Science 101,4,31,1
464,Statistics for Business,3,30,2
465,Computer Science 101,3,34,1
466,Philosophy of Ethics,4,25,1
467,Statistics for Business,4,21,2
468,Introduction to Psychology,2,30,1
469,Literature and Society,4,30,1
470,Public Speaking,4,29,1
471,Chemistry Lab,2,16,1
472,Statistics for Business,4,34,2
473,Chemistry Lab,2,24,1
474,Literature and Society,4,25,1
475,Music Theory,4,20,1
476,Statistics for Business,3,20,2
477,Introduction to Psychology,3,25,2
478,Public Speaking,3,16,1
479,Literature and Society,2,19,2
480,Computer Science 101,3,31,2
481,Chemistry Lab,4,25,2
482,Introduction to Psychology,3,16,1
483,Public Speaking,2,17,1
484,Statistics for Business,2,29,1
485,Computer Science 101,3,24,1
486,Public Speaking,2,30,2
487,Introduction to Psychology,2,19,1
488,Public Speaking,3,14,1
489,Environmental Studies,2,15,1
490,Introduction to Psychology,4,29,2
491,Computer Science 101,3,14,2
492,Statistics for Business,3,28,2
493,History of Art,2,15,2
494,Introduction to Psychology,3,21,1
495,Literature and Society,2,19,1
496,Chemistry Lab,4,19,2
497,Introduction to Psychology,2,28,1
498,Public Speaking,3,14,2
499,Public Speaking,4,18,1
500,Statistics for Business,3,32,2
501,Chemistry Lab,4,27,2
502,History of Art,2,18,2
503,Statistics for Business,4,18,1
504,History of Art,3,35,2
505,Environmental Studies,4,27,1
506,Music Theory,4,16,1
507,Environmental Studies,3,17,1
508,Public Speaking,4,32,1
509,Literature and Society,2,19,2
510,Philosophy of Ethics,3,32,1
511,Music Theory,4,32,1
512,Music Theory,2,34,1
513,Computer Science 101,2,21,1
514,Philosophy of Ethics,3,17,1
515,Public Speaking,4,20,2
516,Philosophy of Ethics,4,17,2
517,History of Art,4,28,2
518,Chemistry Lab,3,35,2
519,Philosophy of Ethics,2,14,1
520,Literature and Society,2,20,2
521,Music Theory,4,15,1
522,Public Speaking,4,14,1
523,Literature and Society,3,15,2
524,Chemistry Lab,3,34,1
525,Chemistry Lab,4,20,1
526,Introduction to Psychology,2,21,1
527,Public Speaking,3,23,2
528,Public Speaking,3,23,1
529,Music Theory,2,29,1
530,Environmental Studies,2,30,1
531,Literature and Society,2,16,2
532,Philosophy of Ethics,3,30,2
533,Philosophy of Ethics,4,15,1
534,Statistics for Business,3,31,2
535,Computer Science 101,3,20,2
536,Introduction to Psychology,2,20,2
537,Computer Science 101,3,22,2
538,Philosophy of Ethics,4,22,1
539,Music Theory,2,34,2
540,Environmental Studies,3,16,1
541,Computer Science 101,3,29,2
542,History of Art,3,23,2
543,Literature and Society,4,30,1
544,History of Art,4,20,1
545,Philosophy of Ethics,2,32,1
546,Public Speaking,4,21,1
547,Environmental Studies,3,26,1
548,Music Theory,3,14,1
549,Environmental Studies,2,23,2
550,Environmental Studies,4,14,1
551,Philosophy of Ethics,3,20,1
552,Literature and Society,4,28,1
553,Philosophy of Ethics,3,21,2
554,Literature and Society,2,30,2
555,Environmental Studies,2,23,1
556,Philosophy of Ethics,4,32,2
557,History of Art,4,17,1
558,Literature and Society,4,18,1
559,History of Art,3,33,2
560,Environmental Studies,2,28,2
561,Environmental Studies,2,18,2
562,Environmental Studies,3,35,2
563,Philosophy of Ethics,4,24,1
564,History of Art,3,25,1
565,Introduction to Psychology,3,14,1
566,History of Art,4,33,2
567,Environmental Studies,4,30,1
568,Environmental Studies,2,17,2
569,History of Art,3,20,1
570,Environmental Studies,4,19,1
571,Philosophy of Ethics,4,34,1
572,Statistics for Business,3,24,2
573,Computer Science 101,2,19,2
574,Philosophy of Ethics,3,29,2
575,History of Art,2,23,2
576,Chemistry Lab,4,35,2
577,Environmental Studies,2,32,2
578,Computer Science 101,2,32,2
579,Environmental Studies,2,32,1
580,Introduction to Psychology,3,18,1
581,Literature and Society,3,19,2
582,Environmental Studies,4,22,1
583,Music Theory,4,29,2
584,Statistics for Business,4,24,1
585,Public Speaking,2,17,1
586,Philosophy of Ethics,4,34,2
587,Statistics for Business,3,34,1
588,Public Speaking,3,26,2
589,Philosophy of Ethics,2,17,1
590,Philosophy of Ethics,4,21,2
591,Statistics for Business,3,14,1
592,Introduction to Psychology,2,19,1
593,Statistics for Business,3,35,2
594,Philosophy of Ethics,4,14,1
595,Computer Science 101,4,23,2
596,History of Art,2,28,1
597,Public Speaking,2,31,2
598,Public Speaking,2,14,2
599,Statistics for Business,4,28,1
600,Computer Science 101,2,29,1
601,History of Art,2,32,2
602,Philosophy of Ethics,2,27,1
603,History of Art,2,14,2
604,History of Art,4,16,2
605,Public Speaking,4,29,2
606,Environmental Studies,3,21,1
607,Statistics for Business,4,28,2
608,Introduction to Psychology,4,35,1
609,Introduction to Psychology,2,35,1
610,Philosophy of Ethics,2,32,1
611,Statistics for Business,4,19,2
612,Environmental Studies,3,24,1
613,Literature and Society,4,32,2
614,History of Art,3,32,1
615,Literature and Society,4,29,2
616,Computer Science 101,3,15,2
617,Public Speaking,2,34,1
618,History of Art,4,15,2
619,Philosophy of Ethics,4,23,2
620,Literature and Society,3,35,1
621,Public Speaking,4,24,1
622,Literature and Society,4,30,1
623,Philosophy of Ethics,3,30,1
624,Public Speaking,4,26,1
625,Public Speaking,2,30,2
626,Chemistry Lab,4,29,2
627,Statistics for Business,2,14,2
628,Computer Science 101,2,33,2
629,Music Theory,2,22,1
630,Introduction to Psychology,2,34,1
631,Public Speaking,2,26,2
632,Public Speaking,4,35,1
633,Environmental Studies,2,25,2
634,Music Theory,4,16,2
635,History of Art,4,32,1
636,Introduction to Psychology,4,19,2
637,Literature and Society,3,19,2
638,Music Theory,2,21,1
639,Chemistry Lab,4,16,1
640,Public Speaking,2,20,2
641,Statistics for Business,4,25,2
642,Philosophy of Ethics,3,23,1
643,Introduction to Psychology,3,17,1
644,History of Art,3,22,1
645,History of Art,3,31,2
646,Statistics for Business,2,17,1
647,Chemistry Lab,2,20,2
648,Chemistry Lab,4,34,1
649,Computer Science 101,2,26,2
650,Environmental Studies,3,34,1
651,Philosophy of Ethics,2,14,2
652,Philosophy of Ethics,2,14,2
653,Music Theory,2,22,1
654,Philosophy of Ethics,4,17,2
655,Statistics for Business,4,33,2
656,Philosophy of Ethics,3,25,1
657,Public Speaking,3,31,2
658,Music Theory,2,17,1
659,Literature and Society,2,24,2
660,Computer Science 101,4,17,1
661,Chemistry Lab,2,16,1
662,Music Theory,2,28,2
663,Chemistry Lab,4,33,1
664,Literature and Society,2,28,1
665,Music Theory,3,28,1
666,Computer Science 101,4,27,2
667,Statistics for Business,2,24,2
668,Chemistry Lab,3,15,1
669,Statistics for Business,3,30,1
670,Literature and Society,4,29,1
671,Computer Science 101,2,22,1
672,Environmental Studies,2,16,2
673,Public Speaking,3,24,2
674,Public Speaking,4,28,1
675,History of Art,2,28,2
676,Introduction to Psychology,3,27,1
677,Chemistry Lab,4,22,1
678,Public Speaking,2,35,2
679,Chemistry Lab,3,16,2
680,Introduction to Psychology,2,24,1
681,Philosophy of Ethics,3,25,2
682,Chemistry Lab,3,30,1
683,Literature and Society,3,24,2
684,Computer Science 101,2,29,1
685,Public Speaking,3,15,1
686,Computer Science 101,2,27,2
687,Environmental Studies,2,28,1
688,Philosophy of Ethics,2,14,2
689,Literature and Society,3,18,2
690,Literature and Society,3,27,2
691,History of Art,3,35,2
692,Literature and Society,3,35,2
693,Computer Science 101,2,19,1
694,Computer Science 101,3,20,1
695,Literature and Society,3,14,2
696,Literature and Society,2,27,1
697,Chemistry Lab,4,29,2
698,Music Theory,3,35,1
699,Environmental Studies,2,19,2
700,Literature and Society,2,25,1
701,Computer Science 101,4,25,1
702,Philosophy of Ethics,4,20,2
703,Environmental Studies,4,31,2
704,Literature and Society,2,34,2
705,Literature and Society,4,31,2
706,Computer Science 101,2,15,1
707,History of Art,3,30,2
708,Literature and Society,3,17,2
709,Literature and Society,3,17,1
710,Chemistry Lab,4,29,2
711,Music Theory,4,31,1
712,Computer Science 101,3,27,2
713,Philosophy of Ethics,4,28,2
714,Music Theory,4,28,1
715,Philosophy of Ethics,3,24,1
716,Literature and Society,3,25,1
717,Chemistry Lab,2,21,1
718,Computer Science 101,4,26,2
719,Public Speaking,3,27,1
720,Public Speaking,2,31,2
721,Literature and Society,3,35,1
722,Philosophy of Ethics,3,27,2
723,Chemistry Lab,2,25,1
724,Philosophy of Ethics,2,29,1
725,Public Speaking,4,17,1
726,Public Speaking,2,31,1
727,Philosophy of Ethics,2,27,1
728,Philosophy of Ethics,4,19,1
729,Philosophy of Ethics,3,25,1
730,Literature and Society,3,33,2
731,History of Art,4,17,2
732,Computer Science 101,3,18,2
733,Literature and Society,3,14,2
734,Introduction to Psychology,3,32,2
735,Chemistry Lab,2,33,2
736,Environmental Studies,3,23,1
737,Chemistry Lab,3,33,1
738,Computer Science 101,4,20,1
739,Environmental Studies,3,15,2
740,Philosophy of Ethics,2,23,1
741,Philosophy of Ethics,2,17,1
742,Chemistry Lab,2,18,2
743,Public Speaking,3,24,2
744,Chemistry Lab,3,28,2
745,History of Art,4,21,1
746,Philosophy of Ethics,2,23,1
747,History of Art,4,15,2
748,Statistics for Business,4,21,1
749,Computer Science 101,4,16,2
750,Philosophy of Ethics,2,22,2
751,Statistics for Business,3,22,1
752,Music Theory,4,32,1
753,Public Speaking,2,24,2
754,Environmental Studies,2,34,1
755,Computer Science 101,2,18,1
756,Philosophy of Ethics,4,26,1
757,Literature and Society,3,20,1
758,Music Theory,3,25,1
759,Chemistry Lab,4,28,1
760,Environmental Studies,4,28,1
761,Chemistry Lab,4,26,1
762,History of Art,3,21,1
763,Public Speaking,2,32,2
764,History of Art,4,29,2
765,Computer Science 101,3,31,2
766,Philosophy of Ethics,3,21,1
767,Music Theory,4,27,1
768,Philosophy of Ethics,2,29,1
769,Philosophy of Ethics,4,25,1
770,Public Speaking,4,32,1
771,History of Art,2,29,2
772,Environmental Studies,2,33,1
773,Chemistry Lab,2,15,1
774,Literature and Society,4,33,2
775,Environmental Studies,3,23,2
776,Computer Science 101,3,26,2
777,Statistics for Business,4,23,1
778,Introduction to Psychology,4,29,2
779,Introduction to Psychology,2,32,2
780,Philosophy of Ethics,3,30,2
781,Chemistry Lab,3,21,1
782,History of Art,3,24,1
783,Computer Science 101,4,31,2
784,Philosophy of Ethics,4,23,1
785,Introduction to Psychology,4,28,1
786,Chemistry Lab,2,22,1
787,History of Art,3,25,1
788,Music Theory,4,22,2
789,Environmental Studies,3,23,2
790,Introduction to Psychology,2,26,2
791,Computer Science 101,3,24,2
792,Computer Science 101,3,19,1
793,History of Art,2,26,2
794,Introduction to Psychology,3,32,2
795,Music Theory,3,19,2
796,Literature and Society,2,29,2
797,Philosophy of Ethics,3,26,2
798,Music Theory,4,35,1
799,History of Art,2,23,1
800,Environmental Studies,2,28,1
801,Philosophy of Ethics,2,33,2
802,History of Art,4,32,2
803,Computer Science 101,4,34,1
804,Music Theory,4,22,2
805,History of Art,2,35,2
806,Chemistry Lab,2,27,2
807,Computer Science 101,3,35,2
808,Introduction to Psychology,4,33,1
809,Chemistry Lab,3,26,2
810,Introduction to Psychology,4,23,1
811,History of Art,2,26,1
812,History of Art,4,17,1
813,Chemistry Lab,4,23,2
814,Statistics for Business,4,22,2
815,Introduction to Psychology,4,27,2
816,Music Theory,4,33,1
817,Philosophy of Ethics,4,34,2
818,Introduction to Psychology,4,27,1
819,Philosophy of Ethics,3,19,2
820,Music Theory,4,28,1
821,Statistics for Business,4,25,1
822,Literature and Society,3,19,2
823,Environmental Studies,3,27,2
824,Statistics for Business,3,24,1
825,Computer Science 101,3,28,2
826,Statistics for Business,3,32,1
827,Computer Science 101,2,31,1
828,History of Art,4,16,2
829,Literature and Society,2,29,1
830,Music Theory,4,14,2
831,History of Art,2,19,1
832,Environmental Studies,3,26,2
833,Statistics for Business,2,21,1
834,Music Theory,3,14,1
835,History of Art,4,30,2
836,Computer Science 101,2,20,2
837,Literature and Society,4,32,2
838,Computer Science 101,4,33,2
839,Chemistry Lab,4,31,1
840,Literature and Society,4,33,1
841,Chemistry Lab,3,27,1
842,Introduction to Psychology,4,22,1
843,Public Speaking,4,29,1
844,Music Theory,4,18,1
845,Literature and Society,2,24,2
846,Literature and Society,3,34,2
847,Literature and Society,3,20,2
848,Literature and Society,3,15,1
849,Introduction to Psychology,3,31,1
850,Chemistry Lab,3,20,2
851,Music Theory,4,20,2
852,Public Speaking,2,35,2
853,History of Art,2,33,2
854,Chemistry Lab,2,21,1
855,Philosophy of Ethics,2,26,2
856,Public Speaking,4,27,1
857,Philosophy of Ethics,3,20,2
858,Introduction to Psychology,3,31,1
859,Introduction to Psychology,3,14,2
860,Literature and Society,3,27,2
861,Chemistry Lab,3,18,1
862,Chemistry Lab,2,17,1
863,Introduction to Psychology,3,21,1
864,Introduction to Psychology,4,34,2
865,Environmental Studies,3,18,2
866,Philosophy of Ethics,2,22,1
867,History of Art,3,14,1
868,History of Art,4,31,2
869,Philosophy of Ethics,2,22,2
870,Philosophy of Ethics,3,26,2
871,Statistics for Business,3,15,1
872,Computer Science 101,4,33,1
873,Statistics for Business,4,29,1
874,Literature and Society,4,27,1
