ID_REQUISITO,ID_CURSO,ID_CURSO_REQUISITO,TIPO_RELACION,ID_ESTADO
242,389,177,Correquisito,2
243,891,795,Requisito,1
244,893,765,Correquisito,2
245,761,372,Requisito,2
246,564,516,Correquisito,2
247,107,246,Requisito,1
248,947,272,Requisito,2
249,330,539,Correquisito,1
250,163,205,Correquisito,2
251,177,641,Correquisito,2
252,955,393,Correquisito,2
253,565,269,Requisito,1
254,502,293,Requisito,1
255,81,260,Correquisito,2
256,39,939,Requisito,1
257,497,845,Requisito,1
258,24,11,Requisito,1
259,311,762,Requisito,2
260,993,886,Correquisito,2
261,819,593,Correquisito,2
262,858,913,Correquisito,1
263,32,68,Correquisito,1
264,823,963,Correquisito,2
265,627,727,Requisito,2
266,178,985,Requisito,1
267,4,648,Correquisito,1
268,127,951,Correquisito,2
269,390,948,Requisito,2
270,599,335,Correquisito,2
271,933,702,Requisito,2
272,502,423,Correquisito,1
273,510,252,Correquisito,2
274,606,614,Requisito,1
275,920,900,Requisito,1
276,290,427,Requisito,2
277,85,910,Requisito,2
278,544,832,Correquisito,2
279,346,994,Correquisito,2
280,604,754,Requisito,1
281,627,89,Requisito,1
282,4,937,Requisito,1
283,98,179,Requisito,2
284,885,665,Correquisito,1
285,20,508,Requisito,2
286,980,644,Requisito,1
287,390,843,Correquisito,1
288,638,919,Requisito,1
289,677,34,Requisito,1
290,975,258,Requisito,2
291,979,775,Requisito,1
292,311,387,Requisito,1
293,393,346,Requisito,2
294,736,314,Correquisito,1
295,866,75,Correquisito,1
296,557,315,Requisito,2
297,389,793,Correquisito,1
298,904,691,Correquisito,2
299,71,766,Correquisito,2
300,876,663,Requisito,2
301,752,617,Requisito,2
302,268,568,Correquisito,1
303,40,578,Requisito,2
304,61,635,Correquisito,2
305,235,572,Correquisito,2
306,520,418,Requisito,1
307,716,637,Requisito,1
308,449,580,Correquisito,1
309,863,902,Correquisito,1
310,694,687,Correquisito,1
311,21,253,Requisito,1
312,293,323,Requisito,2
313,30,458,Requisito,2
314,674,327,Requisito,1
315,349,342,Correquisito,1
316,732,464,Correquisito,2
317,981,64,Requisito,2
318,2,576,Requisito,2
319,151,405,Requisito,1
320,222,241,Correquisito,1
321,467,701,Requisito,2
322,364,234,Requisito,2
323,76,844,Correquisito,1
324,654,119,Correquisito,2
325,415,417,Correquisito,2
326,685,161,Correquisito,2
327,640,985,Correquisito,2
328,789,846,Correquisito,1
329,532,132,Requisito,1
330,878,158,Requisito,1
331,123,767,Requisito,2
332,617,268,Requisito,1
333,129,926,Correquisito,1
334,88,599,Correquisito,1
335,47,744,Correquisito,1
336,541,486,Requisito,1
337,555,336,Correquisito,2
338,996,172,Correquisito,2
339,533,321,Correquisito,1
340,744,493,Correquisito,1
341,816,140,Requisito,1
342,338,904,Requisito,2
343,686,581,Correquisito,1
344,450,556,Requisito,2
345,493,980,Requisito,1
346,968,286,Correquisito,1
347,332,73,Correquisito,1
348,527,96,Correquisito,2
349,32,296,Correquisito,2
350,82,935,Requisito,2
351,100,740,Correquisito,2
352,147,828,Requisito,1
353,970,906,Requisito,1
354,816,851,Correquisito,2
355,84,524,Correquisito,1
356,716,364,Correquisito,2
357,573,157,Correquisito,2
358,262,804,Correquisito,1
359,288,954,Correquisito,1
360,357,753,Correquisito,2
361,731,332,Correquisito,1
362,996,543,Correquisito,1
363,8,933,Correquisito,2
364,963,94,Correquisito,2
365,665,760,Requisito,1
366,509,422,Requisito,1
367,908,780,Correquisito,1
368,922,150,Correquisito,2
369,642,419,Correquisito,2
370,273,317,Correquisito,1
371,951,173,Correquisito,2
372,698,12,Requisito,1
373,59,386,Correquisito,2
374,704,191,Correquisito,1
375,416,413,Correquisito,2
376,927,330,Correquisito,1
377,5,622,Correquisito,2
378,797,218,Requisito,1
379,36,540,Correquisito,2
380,861,575,Requisito,2
381,610,668,Correquisito,2
382,516,599,Requisito,1
383,932,610,Correquisito,1
384,853,632,Requisito,1
385,832,88,Correquisito,2
386,83,245,Correquisito,2
387,417,670,Requisito,1
388,886,438,Correquisito,1
389,572,988,Correquisito,2
390,673,307,Correquisito,1
391,389,843,Correquisito,1
392,156,824,Requisito,2
393,896,713,Correquisito,2
394,597,757,Requisito,2
395,742,623,Requisito,2
396,150,58,Correquisito,1
397,307,847,Correquisito,1
398,152,804,Correquisito,1
399,173,783,Correquisito,2
400,564,165,Requisito,1
401,174,742,Requisito,1
402,260,915,Correquisito,2
403,502,146,Correquisito,1
404,841,69,Requisito,1
405,369,106,Correquisito,2
406,394,745,Correquisito,1
407,524,103,Correquisito,1
408,852,589,Correquisito,2
409,240,769,Requisito,2
410,120,975,Requisito,1
411,400,206,Correquisito,1
412,160,221,Correquisito,1
413,700,440,Requisito,1
414,888,574,Requisito,2
415,414,37,Requisito,2
416,851,45,Requisito,1
417,100,343,Requisito,2
418,447,579,Requisito,1
419,546,107,Correquisito,1
420,556,253,Requisito,1
421,268,939,Requisito,2
422,734,16,Correquisito,2
423,313,447,Requisito,2
424,204,875,Requisito,2
425,70,509,Requisito,1
426,399,13,Correquisito,2
427,339,923,Requisito,2
428,71,425,Correquisito,2
429,521,801,Correquisito,1
430,507,968,Correquisito,1
431,112,831,Correquisito,1
432,191,358,Requisito,1
433,698,311,Requisito,1
434,52,532,Correquisito,2
435,126,696,Requisito,2
436,821,327,Requisito,2
437,422,196,Correquisito,1
438,737,727,Requisito,1
439,142,324,Correquisito,1
440,239,203,Requisito,2
441,231,232,Correquisito,1
442,276,248,Correquisito,2
443,84,857,Correquisito,1
444,416,134,Correquisito,2
445,957,277,Correquisito,2
446,19,989,Correquisito,1
447,62,655,Correquisito,1
448,753,338,Correquisito,2
449,130,566,Correquisito,1
450,619,611,Correquisito,2
451,816,19,Requisito,1
452,727,360,Requisito,1
453,282,640,Requisito,2
454,8,949,Correquisito,1
455,109,579,Requisito,2
456,474,422,Correquisito,2
457,31,755,Requisito,1
458,351,200,Correquisito,1
459,182,420,Requisito,1
460,587,335,Correquisito,2
461,293,709,Correquisito,2
462,755,847,Requisito,2
463,844,786,Requisito,2
464,554,804,Requisito,1
465,464,101,Requisito,2
466,529,142,Correquisito,2
467,501,314,Requisito,2
468,256,978,Correquisito,1
469,712,902,Correquisito,2
470,730,365,Requisito,2
471,378,720,Requisito,2
472,882,561,Correquisito,1
473,818,739,Correquisito,2
474,120,8,Requisito,1
475,624,432,Requisito,2
476,400,98,Correquisito,2
477,505,342,Correquisito,1
478,942,829,Requisito,2
479,650,422,Correquisito,2
480,382,806,Correquisito,1
481,480,387,Requisito,2
482,987,209,Correquisito,2
483,687,230,Requisito,2
484,27,542,Correquisito,1
485,294,384,Correquisito,2
486,982,579,Requisito,2
487,591,247,Requisito,1
488,510,694,Requisito,1
489,977,987,Requisito,1
490,100,798,Requisito,1
491,645,113,Requisito,1
492,855,30,Requisito,2
493,346,286,Requisito,2
494,521,497,Requisito,2
495,27,748,Correquisito,2
496,3,702,Correquisito,2
497,123,754,Requisito,1
498,154,435,Correquisito,2
499,508,86,Correquisito,1
500,73,843,Correquisito,2
501,446,230,Requisito,2
502,495,3,Correquisito,2
503,800,525,Requisito,1
504,768,626,Correquisito,2
505,191,561,Correquisito,2
506,656,780,Correquisito,1
507,125,157,Requisito,1
508,63,818,Requisito,2
509,968,36,Correquisito,2
510,693,651,Requisito,2
511,422,681,Requisito,2
512,800,446,Requisito,2
513,703,697,Requisito,2
514,426,230,Requisito,2
515,890,457,Requisito,2
516,832,747,Requisito,2
517,685,508,Requisito,2
518,285,365,Requisito,2
519,768,660,Requisito,2
520,932,881,Correquisito,2
521,181,174,Correquisito,1
522,14,63,Requisito,2
523,973,298,Requisito,2
524,2,989,Requisito,2
525,730,81,Requisito,2
526,126,493,Requisito,1
527,364,43,Requisito,1
528,629,982,Correquisito,2
529,995,436,Requisito,2
530,604,349,Correquisito,1
531,252,231,Correquisito,2
532,734,576,Correquisito,2
533,47,816,Correquisito,1
534,67,264,Correquisito,2
535,322,7,Requisito,1
536,898,447,Requisito,2
537,278,556,Correquisito,2
538,358,377,Correquisito,2
539,93,104,Requisito,1
540,553,545,Correquisito,2
541,419,384,Correquisito,1
542,320,353,Correquisito,1
543,883,392,Requisito,1
544,819,821,Correquisito,1
545,518,199,Requisito,1
546,274,307,Correquisito,1
547,546,109,Requisito,1
548,833,849,Correquisito,2
549,802,441,Requisito,1
550,516,153,Correquisito,1
551,266,618,Requisito,2
552,378,850,Correquisito,2
553,138,609,Correquisito,1
554,588,295,Correquisito,1
555,995,560,Requisito,2
556,359,581,Correquisito,1
557,491,617,Correquisito,2
558,378,585,Correquisito,1
559,273,954,Requisito,1
560,728,393,Correquisito,2
561,284,304,Requisito,2
562,269,538,Correquisito,1
563,137,539,Requisito,2
564,885,310,Correquisito,1
565,597,340,Requisito,2
566,694,961,Requisito,1
567,498,675,Requisito,2
568,228,515,Correquisito,2
569,905,851,Correquisito,2
570,105,548,Requisito,1
571,906,191,Correquisito,2
572,511,921,Requisito,1
573,424,486,Requisito,2
574,417,151,Correquisito,2
575,647,985,Requisito,1
576,194,216,Correquisito,2
577,475,358,Correquisito,1
578,111,673,Requisito,2
579,249,757,Correquisito,1
580,293,584,Correquisito,2
581,864,517,Requisito,2
582,5,744,Requisito,2
583,793,571,Correquisito,1
584,576,735,Requisito,1
585,19,696,Requisito,1
586,711,635,Requisito,1
587,348,105,Correquisito,1
588,201,169,Requisito,2
589,895,441,Requisito,2
590,378,219,Requisito,2
591,367,96,Requisito,1
592,861,183,Correquisito,2
593,467,731,Requisito,1
594,13,370,Correquisito,1
595,26,723,Requisito,2
596,17,299,Correquisito,2
597,339,636,Correquisito,2
598,184,348,Correquisito,1
599,497,582,Requisito,2
600,413,615,Requisito,1
601,307,505,Correquisito,1
602,521,510,Correquisito,1
603,531,100,Correquisito,1
604,822,527,Requisito,1
605,870,203,Requisito,1
606,962,364,Requisito,1
607,421,3,Requisito,1
608,789,486,Requisito,1
609,346,501,Requisito,2
610,718,706,Correquisito,1
611,612,945,Requisito,2
612,134,92,Requisito,2
613,889,493,Correquisito,1
614,99,752,Requisito,2
615,251,654,Requisito,2
616,76,177,Requisito,2
617,507,521,Requisito,1
618,330,567,Requisito,2
619,293,54,Requisito,2
620,38,449,Requisito,2
621,200,922,Correquisito,2
622,187,320,Correquisito,2
623,851,866,Requisito,2
624,574,955,Requisito,2
625,400,342,Requisito,2
626,152,84,Correquisito,1
627,296,86,Correquisito,2
628,407,679,Correquisito,1
629,971,267,Correquisito,1
630,255,818,Correquisito,1
631,834,289,Requisito,1
632,608,218,Requisito,1
633,686,831,Correquisito,1
634,44,140,Correquisito,2
635,731,751,Correquisito,1
636,623,555,Correquisito,2
637,265,216,Requisito,2
638,549,868,Correquisito,1
639,910,602,Correquisito,1
640,990,18,Correquisito,2
641,894,325,Requisito,1
642,994,860,Requisito,1
643,776,11,Requisito,2
644,61,850,Requisito,2
645,870,39,Requisito,2
646,89,408,Correquisito,2
647,673,878,Requisito,2
648,173,283,Correquisito,1
649,588,913,Correquisito,2
650,707,10,Requisito,2
651,365,292,Correquisito,1
652,461,679,Requisito,2
653,564,294,Correquisito,1
654,247,310,Requisito,2
655,372,326,Correquisito,1
656,266,866,Requisito,1
657,167,527,Requisito,2
658,32,976,Requisito,2
659,617,860,Requisito,2
660,616,690,Requisito,1
661,432,475,Requisito,2
662,200,182,Correquisito,1
663,306,745,Requisito,1
664,38,380,Requisito,2
665,967,166,Requisito,2
666,527,245,Correquisito,1
667,407,777,Correquisito,2
668,537,652,Correquisito,1
669,181,196,Correquisito,2
670,1,345,Requisito,2
671,109,721,Requisito,2
672,22,471,Requisito,2
673,181,446,Requisito,1
674,283,121,Requisito,2
675,259,762,Requisito,2
676,962,870,Correquisito,1
677,459,674,Requisito,1
678,435,615,Requisito,1
679,957,935,Requisito,1
680,147,263,Correquisito,2
681,519,124,Correquisito,2
682,928,372,Correquisito,2
683,867,689,Requisito,2
684,939,364,Requisito,1
685,563,265,Correquisito,1
686,116,521,Requisito,1
687,324,656,Requisito,1
688,407,450,Requisito,2
689,518,549,Correquisito,1
690,245,990,Correquisito,2
691,955,885,Correquisito,2
692,795,20,Requisito,1
693,153,398,Requisito,1
694,253,585,Correquisito,1
695,326,347,Correquisito,2
696,205,645,Correquisito,1
697,320,226,Correquisito,1
698,899,270,Correquisito,1
699,260,77,Correquisito,2
700,562,807,Correquisito,1
701,970,551,Correquisito,2
702,723,314,Requisito,1
703,804,941,Correquisito,2
704,719,226,Requisito,1
705,119,745,Correquisito,2
706,999,770,Correquisito,2
707,118,939,Correquisito,2
708,434,191,Correquisito,1
709,761,176,Requisito,2
710,96,444,Requisito,2
711,238,475,Requisito,1
712,6,736,Correquisito,1
713,139,119,Correquisito,2
714,6,935,Requisito,1
715,306,852,Correquisito,1
716,257,767,Requisito,1
717,414,353,Requisito,1
718,809,8,Requisito,1
719,673,581,Correquisito,1
720,806,162,Requisito,2
721,619,10,Requisito,1
722,874,284,Correquisito,2
723,812,684,Requisito,2
724,353,76,Requisito,2
725,613,728,Correquisito,2
726,560,934,Correquisito,2
727,278,944,Requisito,1
728,169,821,Correquisito,2
729,338,730,Correquisito,2
730,439,175,Requisito,1
731,201,597,Correquisito,1
732,560,450,Requisito,1
733,860,975,Requisito,1
734,953,186,Requisito,2
735,254,941,Requisito,1
736,542,218,Requisito,2
737,880,542,Correquisito,1
738,640,844,Requisito,1
739,11,28,Requisito,1
740,43,500,Correquisito,2
741,487,59,Correquisito,2
742,622,351,Requisito,2
743,952,504,Requisito,2
744,751,573,Requisito,1
745,290,67,Requisito,1
746,312,129,Correquisito,1
747,889,274,Requisito,2
748,347,593,Correquisito,2
749,407,112,Correquisito,1
750,671,219,Requisito,2
751,731,875,Correquisito,1
752,922,785,Requisito,2
753,150,858,Correquisito,2
754,638,996,Correquisito,2
755,865,229,Correquisito,1
756,562,286,Requisito,1
757,195,156,Requisito,2
758,153,126,Correquisito,1
759,577,851,Requisito,1
760,950,372,Correquisito,1
761,192,885,Correquisito,1
762,738,982,Correquisito,1
763,169,52,Requisito,2
764,95,789,Requisito,1
765,909,782,Requisito,2
766,402,1000,Correquisito,1
767,766,937,Requisito,2
768,207,65,Requisito,2
769,591,501,Requisito,2
770,91,472,Requisito,1
771,220,253,Correquisito,2
772,924,162,Correquisito,1
773,479,612,Correquisito,1
774,190,658,Requisito,2
775,211,166,Correquisito,2
776,345,80,Requisito,1
777,200,724,Correquisito,1
778,640,214,Requisito,2
779,433,632,Requisito,1
780,392,211,Correquisito,2
781,166,447,Requisito,1
782,122,689,Correquisito,1
783,514,65,Correquisito,2
784,107,768,Requisito,2
785,239,98,Requisito,2
786,51,322,Correquisito,1
787,509,364,Requisito,2
788,506,333,Requisito,1
789,641,198,Requisito,1
790,90,498,Correquisito,1
791,948,182,Requisito,1
792,656,878,Requisito,2
793,42,219,Correquisito,2
794,273,167,Requisito,1
795,706,876,Requisito,1
796,125,677,Requisito,1
797,541,628,Correquisito,1
798,403,786,Requisito,2
799,782,749,Correquisito,1
800,718,843,Correquisito,2
801,116,666,Requisito,1
802,85,353,Requisito,1
803,379,50,Correquisito,2
804,807,825,Requisito,2
805,119,91,Correquisito,2
806,123,976,Requisito,2
807,943,49,Requisito,1
808,103,124,Requisito,2
809,815,597,Requisito,2
810,367,663,Requisito,1
811,372,875,Correquisito,2
812,917,576,Correquisito,1
813,719,646,Correquisito,2
814,992,759,Requisito,1
815,119,707,Requisito,2
816,346,216,Requisito,1
817,645,398,Correquisito,2
818,821,265,Requisito,2
819,539,37,Correquisito,1
820,387,78,Correquisito,1
821,941,568,Requisito,1
822,128,447,Requisito,2
823,110,359,Requisito,2
824,742,98,Correquisito,2
825,934,40,Requisito,1
826,6,681,Correquisito,2
827,77,795,Requisito,1
828,362,417,Requisito,2
829,39,904,Correquisito,2
830,490,171,Requisito,2
831,262,647,Correquisito,1
832,895,961,Requisito,1
833,498,342,Requisito,1
834,633,907,Requisito,1
835,336,634,Requisito,1
836,35,533,Requisito,2
837,740,901,Requisito,2
838,847,67,Requisito,1
839,497,541,Correquisito,2
840,474,747,Requisito,2
841,110,88,Requisito,2
842,863,929,Correquisito,1
843,337,327,Requisito,2
844,652,460,Requisito,2
845,769,114,Requisito,2
846,602,287,Correquisito,2
847,270,940,Correquisito,1
848,260,389,Requisito,1
849,675,294,Requisito,1
850,574,827,Requisito,1
851,49,958,Requisito,2
852,651,107,Requisito,2
853,552,243,Correquisito,2
854,456,452,Correquisito,1
855,908,978,Correquisito,2
856,75,633,Requisito,2
857,64,638,Correquisito,1
858,767,633,Requisito,2
859,142,778,Requisito,1
860,426,947,Correquisito,1
861,344,227,Correquisito,2
862,361,200,Correquisito,1
863,545,388,Requisito,1
864,28,83,Correquisito,1
865,988,380,Requisito,2
866,761,955,Requisito,1
867,978,205,Correquisito,2
868,382,984,Correquisito,2
869,843,911,Requisito,1
870,68,657,Requisito,2
871,551,38,Requisito,2
872,496,991,Requisito,2
873,734,477,Requisito,2
874,117,468,Correquisito,2
875,638,62,Correquisito,2
876,434,140,Correquisito,2
877,364,573,Correquisito,2
878,439,7,Correquisito,1
879,11,830,Correquisito,2
880,651,328,Correquisito,2
881,605,507,Requisito,2
882,713,791,Correquisito,1
883,974,403,Requisito,2
884,60,40,Correquisito,1
885,996,948,Requisito,2
886,937,12,Requisito,1
887,883,479,Requisito,1
888,520,451,Requisito,2
889,167,602,Correquisito,2
890,892,695,Correquisito,2
891,105,299,Correquisito,2
892,730,753,Requisito,1
893,493,874,Requisito,2
894,879,388,Correquisito,2
895,464,615,Correquisito,2
896,447,163,Requisito,1
897,927,455,Requisito,1
898,858,159,Requisito,2
899,92,950,Requisito,2
900,949,327,Requisito,1
901,673,746,Correquisito,2
902,725,468,Requisito,1
903,919,649,Correquisito,2
904,645,571,Requisito,2
905,963,221,Requisito,1
906,262,613,Correquisito,2
907,981,672,Correquisito,1
908,639,550,Requisito,2
909,782,744,Correquisito,1
910,605,648,Requisito,1
911,144,540,Correquisito,2
912,91,283,Requisito,1
913,963,502,Correquisito,2
914,841,47,Correquisito,1
915,831,448,Correquisito,2
916,140,985,Correquisito,1
917,525,820,Correquisito,2
918,899,184,Requisito,2
919,285,713,Requisito,2
920,291,27,Requisito,2
921,845,302,Requisito,1
922,719,468,Requisito,1
923,428,850,Correquisito,1
924,310,326,Requisito,2
925,925,451,Correquisito,2
926,836,632,Correquisito,2
927,860,133,Correquisito,1
928,609,658,Requisito,1
929,284,56,Correquisito,2
930,538,37,Requisito,2
931,992,690,Correquisito,2
932,303,836,Correquisito,1
933,983,203,Correquisito,1
934,577,184,Requisito,2
935,630,235,Correquisito,2
936,635,218,Requisito,2
937,332,798,Requisito,2
938,201,143,Correquisito,1
939,604,588,Correquisito,1
940,96,568,Correquisito,2
941,417,702,Correquisito,1
942,465,829,Requisito,1
943,848,511,Correquisito,2
944,904,368,Correquisito,2
945,767,678,Correquisito,2
946,756,585,Correquisito,2
947,949,850,Requisito,2
948,805,276,Correquisito,2
949,507,171,Correquisito,2
950,338,230,Requisito,1
951,204,384,Requisito,2
952,847,130,Correquisito,2
953,45,386,Correquisito,1
954,967,432,Correquisito,2
955,127,106,Correquisito,1
956,147,961,Requisito,2
957,938,431,Requisito,2
958,594,851,Requisito,2
959,853,548,Requisito,1
960,851,357,Correquisito,1
961,639,167,Correquisito,1
962,960,56,Correquisito,2
963,978,256,Correquisito,2
964,50,16,Correquisito,2
965,118,369,Correquisito,2
966,890,166,Correquisito,1
967,538,725,Requisito,1
968,988,450,Correquisito,1
969,545,412,Requisito,1
970,621,341,Requisito,1
971,712,388,Correquisito,1
972,466,92,Requisito,2
973,521,258,Requisito,2
974,974,974,Correquisito,1
975,502,724,Requisito,1
976,188,684,Requisito,2
977,136,105,Requisito,1
978,479,207,Correquisito,2
979,514,693,Requisito,2
980,674,59,Requisito,2
981,49,798,Correquisito,2
982,349,104,Requisito,2
983,958,929,Requisito,1
984,204,303,Correquisito,2
985,971,943,Correquisito,2
986,363,619,Correquisito,1
987,862,10,Correquisito,2
988,34,795,Requisito,2
989,655,895,Correquisito,2
990,764,386,Requisito,2
991,561,484,Correquisito,2
992,605,675,Requisito,2
993,523,69,Requisito,2
994,229,949,Correquisito,1
995,674,900,Correquisito,1
996,439,232,Requisito,1
997,330,440,Correquisito,1
998,917,228,Requisito,2
999,111,289,Requisito,2
1000,325,456,Requisito,1
