ID_HORARIO,V_DIA_SEMANA,V_TURNO,ID_ESTADO
235,Sábado,Mañana,2
236,Lunes,Noche,1
237,Martes,Tarde,1
238,Sábado,Noche,1
239,Jueves,Mañana,1
240,Lunes,Mañana,2
241,Jueves,Mañana,2
242,Miércoles,Tarde,2
243,Sábado,Noche,2
244,Viernes,Tarde,2
245,Miércoles,Tarde,1
246,Sábado,Mañana,2
247,Lunes,Noche,1
248,Lunes,Mañana,2
249,Lunes,Tarde,2
250,Sábado,Mañana,2
251,Viernes,Mañana,1
252,Martes,Tarde,2
253,Sábado,Noche,2
254,Martes,Noche,2
255,Jueves,Tarde,2
256,Viernes,Noche,2
257,Martes,Tarde,1
258,Jueves,Mañana,2
259,Miércoles,Mañana,2
260,Miércoles,Noche,1
261,Jueves,Noche,1
262,Jueves,Mañana,2
263,Martes,Mañana,1
264,Sábado,Mañana,1
265,Martes,Mañana,1
266,Miércoles,Noche,1
267,Viernes,Mañana,2
268,Martes,Noche,1
269,Viernes,Noche,2
270,Jueves,Mañana,2
271,Sábado,Mañana,1
272,Miércoles,Noche,2
273,Sábado,Noche,1
274,Jueves,Mañana,1
275,Martes,Noche,2
276,Jueves,Tarde,1
277,Martes,Noche,1
278,Sábado,Tarde,1
279,Martes,Mañana,1
280,Viernes,Tarde,1
281,Sábado,Noche,1
282,Lunes,Noche,1
283,Lunes,Tarde,2
284,Sábado,Noche,1
285,Miércoles,Tarde,2
286,Jueves,Tarde,2
287,Lunes,Noche,2
288,Miércoles,Noche,2
289,Jueves,Mañana,1
290,Miércoles,Noche,1
291,Jueves,Noche,2
292,Lunes,Mañana,1
293,Jueves,Mañana,1
294,Miércoles,Tarde,2
295,Miércoles,Tarde,2
296,Sábado,Noche,1
297,Jueves,Tarde,2
298,Sábado,Noche,2
299,Viernes,Noche,2
300,Miércoles,Noche,1
301,Jueves,Mañana,1
302,Miércoles,Tarde,2
303,Jueves,Mañana,2
304,Miércoles,Mañana,1
305,Martes,Tarde,1
306,Miércoles,Tarde,2
307,Viernes,Mañana,1
308,Miércoles,Mañana,1
309,Lunes,Noche,1
310,Lunes,Tarde,1
311,Lunes,Mañana,1
312,Miércoles,Tarde,2
313,Lunes,Noche,2
314,Martes,Mañana,2
315,Lunes,Tarde,1
316,Miércoles,Tarde,1
317,Viernes,Tarde,1
318,Sábado,Mañana,2
319,Viernes,Tarde,1
320,Miércoles,Tarde,1
321,Sábado,Tarde,2
322,Lunes,Tarde,2
323,Miércoles,Mañana,1
324,Jueves,Mañana,1
325,Lunes,Tarde,1
326,Lunes,Noche,2
327,Sábado,Tarde,1
328,Martes,Noche,2
329,Lunes,Tarde,1
330,Lunes,Noche,2
331,Jueves,Tarde,2
332,Lunes,Mañana,1
333,Lunes,Tarde,1
334,Viernes,Noche,1
335,Lunes,Tarde,1
336,Sábado,Tarde,2
337,Viernes,Tarde,2
338,Miércoles,Tarde,1
339,Martes,Tarde,2
340,Viernes,Noche,2
341,Lunes,Noche,1
342,Sábado,Mañana,1
343,Miércoles,Tarde,1
344,Jueves,Tarde,2
345,Lunes,Noche,2
346,Lunes,Noche,1
347,Miércoles,Mañana,2
348,Martes,Tarde,2
349,Lunes,Noche,2
350,Sábado,Noche,1
351,Miércoles,Mañana,2
352,Miércoles,Noche,2
353,Miércoles,Mañana,1
354,Miércoles,Noche,1
355,Miércoles,Tarde,2
356,Lunes,Noche,2
357,Martes,Tarde,2
358,Martes,Mañana,2
359,Sábado,Noche,1
360,Sábado,Noche,1
361,Sábado,Mañana,2
362,Miércoles,Mañana,2
363,Viernes,Noche,2
364,Viernes,Mañana,2
365,Lunes,Tarde,1
366,Viernes,Mañana,2
367,Lunes,Tarde,2
368,Sábado,Tarde,1
369,Miércoles,Mañana,2
370,Martes,Noche,1
371,Sábado,Mañana,1
372,Lunes,Noche,2
373,Viernes,Mañana,1
374,Miércoles,Mañana,1
375,Jueves,Tarde,2
376,Martes,Noche,2
377,Jueves,Noche,1
378,Sábado,Noche,1
379,Viernes,Tarde,2
380,Viernes,Noche,2
381,Jueves,Noche,2
382,Martes,Mañana,1
383,Viernes,Tarde,2
384,Sábado,Noche,2
385,Lunes,Noche,2
386,Lunes,Tarde,2
387,Jueves,Tarde,2
388,Sábado,Noche,1
389,Sábado,Mañana,1
390,Martes,Mañana,1
391,Lunes,Tarde,1
392,Martes,Mañana,1
393,Lunes,Tarde,2
394,Viernes,Tarde,2
395,Martes,Tarde,1
396,Lunes,Noche,2
397,Jueves,Mañana,2
398,Miércoles,Noche,2
399,Lunes,Mañana,2
400,Lunes,Tarde,2
401,Lunes,Tarde,1
402,Jueves,Mañana,2
403,Lunes,Mañana,1
404,Sábado,Tarde,1
405,Martes,Tarde,2
406,Sábado,Noche,1
407,Viernes,Mañana,2
408,Martes,Tarde,1
409,Martes,Tarde,1
410,Martes,Tarde,2
411,Viernes,Noche,2
412,Jueves,Mañana,1
413,Sábado,Mañana,2
414,Miércoles,Mañana,2
415,Viernes,Mañana,1
416,Miércoles,Noche,1
417,Martes,Mañana,2
418,Sábado,Tarde,2
419,Sábado,Mañana,1
420,Lunes,Tarde,1
421,Miércoles,Tarde,1
422,Viernes,Noche,2
423,Jueves,Mañana,2
424,Miércoles,Mañana,1
425,Viernes,Tarde,1
426,Miércoles,Mañana,1
427,Viernes,Tarde,1
428,Lunes,Noche,2
429,Sábado,Tarde,1
430,Lunes,Mañana,2
431,Martes,Noche,1
432,Sábado,Noche,2
433,Miércoles,Mañana,2
434,Martes,Tarde,1
435,Martes,Mañana,2
436,Miércoles,Mañana,2
437,Lunes,Tarde,1
438,Sábado,Mañana,2
439,Lunes,Noche,1
440,Lunes,Noche,2
441,Sábado,Mañana,2
442,Viernes,Tarde,2
443,Jueves,Mañana,1
444,Martes,Tarde,2
445,Lunes,Mañana,2
446,Lunes,Tarde,1
447,Miércoles,Tarde,2
448,Jueves,Mañana,2
449,Miércoles,Tarde,2
450,Sábado,Noche,2
451,Jueves,Mañana,2
452,Viernes,Mañana,2
453,Martes,Mañana,2
454,Sábado,Noche,2
455,Jueves,Mañana,1
456,Lunes,Noche,1
457,Viernes,Mañana,1
458,Viernes,Mañana,2
459,Viernes,Mañana,1
460,Martes,Tarde,2
461,Viernes,Tarde,2
462,Martes,Noche,1
463,Jueves,Noche,2
464,Martes,Noche,1
465,Lunes,Mañana,2
466,Viernes,Mañana,1
467,Lunes,Mañana,1
468,Martes,Tarde,1
469,Miércoles,Tarde,1
470,Jueves,Tarde,2
471,Miércoles,Mañana,2
472,Jueves,Noche,1
473,Viernes,Tarde,1
474,Sábado,Mañana,2
475,Jueves,Mañana,1
476,Viernes,Noche,2
477,Jueves,Tarde,1
478,Sábado,Noche,1
479,Viernes,Tarde,1
480,Martes,Mañana,2
481,Martes,Mañana,1
482,Martes,Noche,2
483,Lunes,Mañana,1
484,Sábado,Tarde,2
485,Miércoles,Mañana,2
486,Jueves,Tarde,1
487,Viernes,Mañana,1
488,Viernes,Tarde,2
489,Miércoles,Mañana,2
490,Lunes,Mañana,2
491,Lunes,Mañana,2
492,Sábado,Mañana,2
493,Jueves,Noche,2
494,Sábado,Mañana,1
495,Martes,Mañana,2
496,Miércoles,Mañana,1
497,Viernes,Noche,1
498,Martes,Tarde,1
499,Viernes,Noche,2
500,Martes,Noche,1
501,Jueves,Mañana,1
502,Sábado,Noche,1
503,Martes,Mañana,1
504,Jueves,Mañana,1
505,Lunes,Tarde,1
506,Viernes,Noche,2
507,Jueves,Noche,2
508,Miércoles,Tarde,2
509,Sábado,Mañana,1
510,Lunes,Tarde,2
511,Lunes,Tarde,2
512,Martes,Mañana,1
513,Sábado,Tarde,2
514,Viernes,Noche,2
515,Jueves,Mañana,1
516,Jueves,Mañana,2
517,Miércoles,Tarde,2
518,Martes,Mañana,2
519,Martes,Mañana,1
520,Lunes,Noche,1
521,Miércoles,Tarde,2
522,Jueves,Tarde,1
523,Miércoles,Tarde,2
524,Miércoles,Mañana,2
525,Viernes,Tarde,1
526,Viernes,Mañana,2
527,Sábado,Mañana,1
528,Martes,Noche,2
529,Lunes,Tarde,2
530,Lunes,Noche,1
531,Viernes,Noche,2
532,Sábado,Tarde,1
533,Jueves,Noche,2
534,Miércoles,Tarde,2
535,Martes,Tarde,1
536,Miércoles,Tarde,2
537,Lunes,Tarde,1
538,Jueves,Tarde,2
539,Martes,Noche,1
540,Viernes,Noche,2
541,Sábado,Tarde,1
542,Sábado,Noche,1
543,Sábado,Tarde,2
544,Sábado,Mañana,2
545,Lunes,Tarde,1
546,Martes,Tarde,2
547,Miércoles,Tarde,1
548,Lunes,Mañana,2
549,Sábado,Tarde,1
550,Martes,Mañana,1
551,Lunes,Tarde,1
552,Jueves,Mañana,1
553,Sábado,Mañana,1
554,Martes,Noche,2
555,Miércoles,Tarde,1
556,Sábado,Noche,2
557,Jueves,Tarde,1
558,Sábado,Tarde,1
559,Miércoles,Tarde,1
560,Miércoles,Noche,2
561,Martes,Tarde,1
562,Lunes,Noche,1
563,Miércoles,Mañana,2
564,Miércoles,Tarde,2
565,Sábado,Tarde,2
566,Sábado,Mañana,2
567,Miércoles,Tarde,2
568,Sábado,Tarde,2
569,Sábado,Tarde,2
570,Martes,Mañana,2
571,Sábado,Noche,2
572,Jueves,Mañana,2
573,Martes,Noche,2
574,Miércoles,Tarde,2
575,Lunes,Mañana,1
576,Viernes,Tarde,2
577,Lunes,Mañana,1
578,Jueves,Tarde,1
579,Lunes,Mañana,2
580,Lunes,Mañana,1
581,Viernes,Tarde,1
582,Miércoles,Noche,2
583,Jueves,Noche,1
584,Viernes,Tarde,1
585,Sábado,Tarde,1
586,Viernes,Tarde,1
587,Miércoles,Noche,2
588,Miércoles,Tarde,2
589,Martes,Tarde,1
590,Viernes,Tarde,1
591,Sábado,Noche,2
592,Sábado,Tarde,2
593,Martes,Noche,1
594,Martes,Noche,2
595,Jueves,Noche,2
596,Jueves,Tarde,2
597,Lunes,Tarde,1
598,Sábado,Mañana,2
599,Miércoles,Tarde,1
600,Lunes,Mañana,1
601,Viernes,Mañana,1
602,Sábado,Noche,1
603,Miércoles,Tarde,2
604,Miércoles,Noche,2
605,Sábado,Noche,1
606,Viernes,Tarde,2
607,Sábado,Mañana,1
608,Sábado,Mañana,1
609,Viernes,Noche,2
610,Jueves,Tarde,2
611,Martes,Noche,2
612,Miércoles,Tarde,1
613,Martes,Tarde,1
614,Miércoles,Mañana,2
615,Lunes,Mañana,2
616,Viernes,Tarde,1
617,Martes,Tarde,1
618,Jueves,Mañana,2
619,Viernes,Tarde,1
620,Jueves,Tarde,2
621,Lunes,Noche,2
622,Miércoles,Noche,2
623,Viernes,Tarde,1
624,Miércoles,Noche,2
625,Sábado,Tarde,1
626,Lunes,Noche,2
627,Martes,Mañana,2
628,Miércoles,Tarde,1
629,Miércoles,Mañana,2
630,Jueves,Tarde,1
631,Sábado,Tarde,2
632,Miércoles,Mañana,2
633,Martes,Tarde,1
634,Sábado,Tarde,2
635,Jueves,Mañana,2
636,Viernes,Mañana,1
637,Viernes,Mañana,1
638,Sábado,Noche,2
639,Martes,Tarde,2
640,Sábado,Mañana,2
641,Sábado,Mañana,1
642,Viernes,Mañana,2
643,Miércoles,Tarde,2
644,Viernes,Tarde,1
645,Sábado,Noche,1
646,Sábado,Mañana,1
647,Lunes,Noche,1
648,Martes,Mañana,1
649,Lunes,Noche,1
650,Lunes,Tarde,1
651,Martes,Mañana,2
652,Sábado,Noche,1
653,Viernes,Tarde,2
654,Lunes,Tarde,1
655,Martes,Mañana,1
656,Viernes,Noche,2
657,Lunes,Mañana,1
658,Martes,Noche,1
659,Jueves,Noche,1
660,Viernes,Mañana,2
661,Martes,Mañana,2
662,Jueves,Noche,2
663,Martes,Noche,1
664,Jueves,Tarde,1
665,Miércoles,Noche,2
666,Sábado,Mañana,2
667,Sábado,Mañana,1
668,Viernes,Noche,1
669,Miércoles,Mañana,1
670,Martes,Noche,2
671,Lunes,Mañana,2
672,Martes,Mañana,1
673,Martes,Tarde,1
674,Jueves,Tarde,2
675,Lunes,Noche,1
676,Lunes,Tarde,2
677,Martes,Noche,2
678,Sábado,Noche,1
679,Sábado,Tarde,2
680,Miércoles,Noche,2
681,Jueves,Tarde,1
682,Viernes,Tarde,2
683,Viernes,Noche,1
684,Sábado,Tarde,2
685,Lunes,Noche,2
686,Sábado,Tarde,1
687,Viernes,Noche,2
688,Martes,Tarde,2
689,Jueves,Noche,1
690,Jueves,Mañana,2
691,Lunes,Noche,2
692,Martes,Noche,1
693,Miércoles,Tarde,1
694,Miércoles,Tarde,1
695,Miércoles,Mañana,1
696,Viernes,Tarde,1
697,Sábado,Noche,2
698,Miércoles,Tarde,1
699,Sábado,Mañana,2
700,Sábado,Mañana,2
701,Lunes,Mañana,2
702,Lunes,Tarde,2
703,Lunes,Noche,1
704,Viernes,Noche,2
705,Martes,Tarde,2
706,Miércoles,Tarde,1
707,Sábado,Mañana,2
708,Sábado,Mañana,2
709,Viernes,Mañana,1
710,Martes,Mañana,2
711,Viernes,Noche,1
712,Miércoles,Tarde,1
713,Sábado,Noche,2
714,Lunes,Noche,2
715,Jueves,Noche,2
716,Jueves,Tarde,2
717,Sábado,Noche,1
718,Sábado,Mañana,1
719,Jueves,Tarde,2
720,Viernes,Tarde,1
721,Viernes,Tarde,1
722,Miércoles,Noche,1
723,Martes,Mañana,2
724,Jueves,Mañana,2
725,Sábado,Noche,1
726,Viernes,Tarde,2
727,Sábado,Noche,1
728,Sábado,Mañana,1
729,Lunes,Noche,1
730,Viernes,Tarde,1
731,Sábado,Noche,1
732,Sábado,Noche,1
733,Viernes,Mañana,2
734,Jueves,Noche,2
735,Jueves,Noche,1
736,Sábado,Mañana,1
737,Viernes,Noche,1
738,Jueves,Tarde,1
739,Viernes,Noche,1
740,Lunes,Tarde,2
741,Viernes,Mañana,2
742,Miércoles,Tarde,1
743,Miércoles,Tarde,1
744,Sábado,Tarde,2
745,Miércoles,Noche,1
746,Miércoles,Noche,2
747,Jueves,Noche,2
748,Sábado,Noche,1
749,Miércoles,Noche,1
750,Sábado,Tarde,1
751,Viernes,Tarde,1
752,Martes,Tarde,2
753,Viernes,Mañana,2
754,Lunes,Mañana,2
755,Viernes,Tarde,1
756,Sábado,Tarde,1
757,Miércoles,Noche,2
758,Sábado,Mañana,1
759,Martes,Noche,1
760,Sábado,Mañana,2
761,Jueves,Mañana,2
762,Miércoles,Noche,2
763,Martes,Noche,1
764,Viernes,Mañana,2
765,Sábado,Noche,2
766,Viernes,Tarde,1
767,Miércoles,Mañana,1
768,Lunes,Tarde,2
769,Jueves,Mañana,1
770,Miércoles,Mañana,1
771,Jueves,Tarde,1
772,Jueves,Tarde,2
773,Martes,Noche,2
774,Jueves,Mañana,2
775,Sábado,Tarde,1
776,Lunes,Tarde,2
777,Viernes,Mañana,1
778,Viernes,Tarde,1
779,Lunes,Mañana,1
780,Martes,Noche,1
781,Jueves,Noche,1
782,Viernes,Noche,1
783,Viernes,Tarde,2
784,Viernes,Mañana,1
785,Jueves,Tarde,2
786,Viernes,Mañana,1
787,Miércoles,Noche,1
788,Viernes,Noche,2
789,Sábado,Mañana,1
790,Lunes,Tarde,2
791,Martes,Tarde,1
792,Martes,Mañana,1
793,Viernes,Mañana,1
794,Miércoles,Mañana,1
795,Viernes,Noche,1
796,Viernes,Mañana,2
797,Miércoles,Tarde,2
798,Viernes,Noche,1
799,Viernes,Tarde,2
800,Jueves,Tarde,1
801,Lunes,Mañana,2
802,Lunes,Noche,2
803,Viernes,Noche,2
804,Sábado,Noche,2
805,Miércoles,Tarde,1
806,Lunes,Noche,2
807,Viernes,Noche,2
808,Lunes,Mañana,1
809,Lunes,Noche,1
810,Viernes,Tarde,2
811,Martes,Mañana,1
812,Martes,Noche,2
813,Miércoles,Mañana,1
814,Jueves,Tarde,2
815,Lunes,Tarde,1
816,Lunes,Tarde,2
817,Jueves,Tarde,1
818,Viernes,Noche,2
819,Sábado,Mañana,1
820,Viernes,Tarde,2
821,Jueves,Noche,2
822,Miércoles,Tarde,1
823,Lunes,Tarde,1
824,Miércoles,Mañana,1
825,Miércoles,Mañana,1
826,Sábado,Tarde,1
827,Sábado,Noche,2
828,Jueves,Tarde,1
829,Viernes,Noche,1
830,Martes,Tarde,2
831,Sábado,Mañana,1
832,Martes,Tarde,1
833,Jueves,Noche,1
834,Miércoles,Mañana,1
835,Martes,Mañana,1
836,Jueves,Tarde,2
837,Lunes,Noche,2
838,Lunes,Mañana,1
839,Martes,Noche,1
840,Martes,Mañana,1
841,Martes,Mañana,1
842,Martes,Noche,2
843,Lunes,Tarde,2
844,Lunes,Tarde,2
845,Martes,Noche,2
846,Sábado,Mañana,2
847,Jueves,Tarde,1
848,Viernes,Tarde,1
849,Miércoles,Tarde,1
850,Lunes,Mañana,1
851,Sábado,Tarde,2
852,Lunes,Noche,2
853,Viernes,Mañana,1
854,Sábado,Tarde,1
855,Sábado,Noche,1
856,Viernes,Tarde,1
857,Lunes,Tarde,1
858,Sábado,Noche,2
859,Jueves,Noche,1
860,Martes,Noche,1
861,Miércoles,Mañana,2
862,Viernes,Mañana,2
863,Martes,Tarde,1
864,Lunes,Noche,2
865,Martes,Tarde,2
866,Jueves,Noche,2
867,Jueves,Tarde,1
868,Jueves,Tarde,2
869,Viernes,Noche,2
870,Martes,Noche,1
871,Lunes,Tarde,1
872,Viernes,Tarde,1
873,Sábado,Tarde,2
874,Miércoles,Noche,2
875,Martes,Mañana,1
876,Lunes,Mañana,1
877,Viernes,Mañana,1
878,Viernes,Tarde,1
879,Jueves,Mañana,2
880,Miércoles,Mañana,2
881,Sábado,Mañana,1
882,Sábado,Mañana,1
883,Viernes,Noche,1
884,Jueves,Noche,2
885,Martes,Tarde,1
886,Lunes,Noche,2
887,Miércoles,Noche,1
888,Miércoles,Tarde,1
889,Sábado,Mañana,2
890,Viernes,Noche,1
891,Miércoles,Mañana,1
892,Lunes,Tarde,2
893,Jueves,Tarde,2
894,Lunes,Mañana,2
895,Viernes,Noche,1
896,Martes,Mañana,2
897,Viernes,Mañana,2
898,Martes,Mañana,1
899,Jueves,Mañana,1
900,Miércoles,Tarde,2
901,Miércoles,Noche,2
902,Martes,Tarde,2
903,Lunes,Mañana,1
904,Sábado,Mañana,1
905,Viernes,Noche,2
906,Sábado,Tarde,2
907,Martes,Tarde,2
908,Jueves,Noche,2
909,Martes,Mañana,2
910,Miércoles,Noche,2
911,Jueves,Mañana,2
912,Viernes,Mañana,1
913,Lunes,Mañana,1
914,Viernes,Noche,1
915,Viernes,Mañana,2
916,Sábado,Tarde,2
917,Jueves,Noche,1
918,Lunes,Noche,2
919,Viernes,Noche,2
920,Sábado,Noche,1
921,Lunes,Mañana,2
922,Martes,Tarde,2
923,Jueves,Tarde,1
924,Miércoles,Mañana,2
925,Lunes,Noche,1
926,Viernes,Tarde,1
927,Martes,Mañana,1
928,Jueves,Tarde,1
929,Viernes,Tarde,2
930,Martes,Noche,2
931,Sábado,Mañana,2
932,Viernes,Mañana,1
933,Martes,Mañana,2
934,Martes,Tarde,1
935,Sábado,Mañana,1
936,Sábado,Tarde,2
937,Miércoles,Tarde,2
938,Martes,Mañana,1
939,Martes,Mañana,2
940,Jueves,Tarde,1
941,Sábado,Tarde,1
942,Martes,Noche,1
943,Jueves,Noche,1
944,Sábado,Mañana,1
945,Sábado,Noche,2
946,Jueves,Noche,2
947,Lunes,Mañana,1
948,Jueves,Noche,2
949,Sábado,Noche,1
950,Viernes,Tarde,2
951,Miércoles,Noche,1
952,Viernes,Noche,2
953,Lunes,Tarde,2
954,Jueves,Mañana,1
955,Jueves,Tarde,1
956,Sábado,Tarde,1
957,Viernes,Noche,1
958,Jueves,Tarde,2
959,Viernes,Noche,1
960,Sábado,Mañana,1
961,Viernes,Noche,2
962,Lunes,Noche,1
963,Sábado,Tarde,1
964,Lunes,Tarde,2
965,Martes,Mañana,2
966,Sábado,Tarde,2
967,Martes,Mañana,1
968,Jueves,Mañana,2
969,Viernes,Mañana,2
970,Lunes,Tarde,1
971,Miércoles,Noche,1
972,Jueves,Tarde,2
973,Lunes,Tarde,1
974,Lunes,Mañana,2
975,Viernes,Mañana,1
976,Lunes,Noche,1
977,Jueves,Mañana,2
978,Viernes,Noche,1
979,Martes,Noche,2
980,Lunes,Mañana,1
981,Miércoles,Noche,1
982,Viernes,Noche,1
983,Miércoles,Mañana,2
984,Miércoles,Mañana,2
985,Viernes,Noche,2
986,Viernes,Tarde,2
987,Jueves,Tarde,1
988,Miércoles,Tarde,2
989,Miércoles,Noche,2
990,Viernes,Noche,2
991,Miércoles,Noche,2
992,Jueves,Mañana,1
993,Martes,Mañana,1
994,Viernes,Noche,1
995,Miércoles,Noche,2
996,Martes,Noche,2
997,Lunes,Noche,1
998,Martes,Noche,1
999,Martes,Mañana,2
1000,Jueves,Mañana,1
