ID_ASIGNCACION,ID_USUARIO,ID_CURSO,ID_HORARIO,ID_ESTADO
131,883,825,564,1
132,946,905,687,2
133,324,381,648,1
134,44,925,424,2
135,972,322,749,2
136,391,334,683,1
137,80,516,257,1
138,151,43,318,2
139,799,471,674,2
140,995,42,602,2
141,880,697,879,1
142,682,803,459,2
143,944,42,242,2
144,739,113,741,1
145,38,39,12,2
146,830,156,391,1
147,159,26,234,2
148,65,382,922,1
149,739,628,488,1
150,775,41,788,2
151,214,144,624,2
152,901,819,84,1
153,902,799,181,2
154,85,926,328,1
155,585,172,307,2
156,290,856,755,1
157,17,13,309,2
158,726,808,402,1
159,131,7,181,1
160,104,196,965,2
161,846,206,627,2
162,922,187,310,1
163,252,407,339,2
164,553,160,870,2
165,66,931,537,2
166,865,514,419,1
167,170,305,832,1
168,109,210,768,1
169,251,876,136,1
170,667,346,844,1
171,761,773,362,1
172,812,722,158,1
173,966,914,506,2
174,530,446,311,2
175,326,293,817,2
176,638,810,258,2
177,796,350,196,1
178,230,287,758,1
179,971,167,78,2
180,934,170,720,1
181,890,426,127,2
182,691,689,535,1
183,915,810,112,1
184,688,416,219,1
185,954,157,204,2
186,470,742,215,2
187,483,963,589,1
188,626,509,357,2
189,388,144,521,2
190,584,408,478,2
191,478,53,699,2
192,377,645,284,1
193,877,365,502,1
194,770,872,118,1
195,858,433,996,2
196,357,663,913,1
197,603,714,564,2
198,850,605,185,1
199,919,273,14,2
200,944,474,534,1
201,706,590,178,1
202,508,162,981,2
203,480,528,559,1
204,455,806,732,2
205,766,984,865,2
206,216,488,788,1
207,173,620,496,2
208,15,344,896,1
209,391,95,758,2
210,250,458,215,2
211,742,359,997,1
212,903,815,107,1
213,614,993,876,1
214,451,884,619,2
215,975,890,184,2
216,632,990,9,2
217,601,288,964,1
218,472,330,187,1
219,519,665,329,2
220,728,688,874,1
221,161,249,941,1
222,226,931,649,2
223,115,716,100,1
224,742,597,465,1
225,799,951,832,1
226,103,930,880,2
227,688,922,448,2
228,941,389,362,2
229,352,233,201,2
230,305,490,949,2
231,216,940,235,1
232,372,830,194,1
233,904,177,443,1
234,909,949,325,1
235,255,660,831,1
236,366,196,647,2
237,538,683,633,2
238,373,23,618,2
239,976,187,230,2
240,499,239,617,2
241,897,659,700,1
242,882,358,726,1
243,281,593,713,2
244,533,915,563,1
245,117,71,398,2
246,769,115,911,1
247,646,727,718,2
248,881,471,865,2
249,251,812,158,1
250,614,164,23,2
251,191,849,306,2
252,654,613,510,2
253,772,639,50,2
254,166,534,368,1
255,552,804,92,2
256,374,287,855,2
257,986,758,51,1
258,463,652,292,2
259,599,47,257,1
260,996,590,649,1
261,743,54,192,1
262,192,705,289,1
263,150,835,540,2
264,671,711,406,2
265,994,991,659,1
266,911,227,836,1
267,700,169,561,1
268,898,479,663,1
269,91,430,784,2
270,350,7,24,1
271,123,132,173,1
272,135,881,961,1
273,547,347,277,1
274,101,78,50,2
275,360,108,665,1
276,578,348,26,1
277,314,537,26,2
278,704,792,967,1
279,914,797,730,1
280,36,653,166,2
281,711,508,365,1
282,667,205,674,2
283,962,301,602,1
284,629,495,411,2
285,867,434,443,1
286,795,153,639,2
287,884,911,667,2
288,54,872,919,2
289,624,196,755,2
290,465,635,306,2
291,98,490,208,1
292,194,624,783,2
293,397,262,453,1
294,708,821,757,1
295,37,385,797,2
296,519,44,922,1
297,710,946,494,1
298,289,883,666,2
299,503,563,677,1
300,280,939,446,1
301,825,109,137,2
302,361,322,482,2
303,627,522,489,2
304,828,745,364,2
305,233,158,3,1
306,614,527,884,2
307,127,189,121,2
308,926,44,35,1
309,193,63,356,1
310,761,424,860,2
311,763,596,343,1
312,37,215,985,1
313,518,782,811,1
314,380,896,685,1
315,293,485,664,2
316,217,831,166,2
317,135,882,550,2
318,535,953,987,1
319,333,830,591,1
320,186,737,494,1
321,547,25,470,1
322,890,286,908,2
323,691,576,925,1
324,699,346,991,2
325,197,524,824,2
326,530,117,638,1
327,66,176,236,1
328,951,182,46,2
329,669,390,169,1
330,339,695,237,2
331,228,955,707,2
332,902,855,739,1
333,292,683,739,2
334,846,154,291,1
335,405,565,438,2
336,224,637,679,2
337,582,284,145,2
338,268,178,924,2
339,782,378,606,2
340,475,953,573,2
341,279,291,306,2
342,562,75,989,1
343,861,580,541,1
344,803,130,478,2
345,155,309,493,1
346,913,911,838,1
347,209,32,282,2
348,993,934,670,2
349,585,23,614,2
350,445,852,219,2
351,131,41,301,2
352,907,89,598,2
353,48,478,29,1
354,353,215,856,2
355,254,313,483,2
356,662,769,290,1
357,740,880,982,2
358,631,363,62,1
359,768,992,575,2
360,669,978,876,1
361,630,48,165,2
362,157,131,154,2
363,183,557,424,2
364,994,764,921,1
365,338,677,152,1
366,875,757,540,2
367,345,804,19,2
368,885,148,957,1
369,727,971,472,2
370,972,678,564,1
371,526,565,5,2
372,783,855,308,1
373,889,575,279,1
374,618,640,200,2
375,316,723,679,1
376,231,5,69,1
377,484,779,189,2
378,130,251,596,2
379,273,756,887,2
380,791,823,255,2
381,685,966,438,1
382,988,677,78,1
383,777,747,876,1
384,647,100,760,2
385,778,411,590,2
386,506,258,488,2
387,292,282,921,2
388,14,604,864,2
389,388,678,512,2
390,8,753,215,2
391,388,981,927,1
392,365,848,901,1
393,415,547,186,2
394,811,731,984,2
395,309,515,689,2
396,488,668,181,2
397,319,202,842,1
398,977,670,175,1
399,884,403,159,2
400,466,485,302,1
401,722,491,806,2
402,402,402,968,2
403,869,380,660,2
404,250,744,608,2
405,40,417,965,2
406,888,785,701,2
407,68,881,645,2
408,2,322,559,2
409,474,859,851,2
410,325,427,770,1
411,229,762,358,1
412,954,379,246,2
413,627,149,449,2
414,62,251,905,2
415,491,102,864,2
416,685,413,782,1
417,643,505,45,1
418,863,988,720,2
419,896,718,473,2
420,928,447,14,2
421,405,130,44,2
422,799,810,505,1
423,536,220,163,2
424,546,25,693,2
425,52,937,630,2
426,333,205,118,1
427,54,158,881,2
428,290,487,678,2
429,820,535,950,1
430,406,296,150,2
431,491,166,151,1
432,323,191,99,1
433,871,930,338,1
434,973,214,751,2
435,567,878,452,2
436,988,728,703,2
437,818,919,973,1
438,971,199,346,2
439,411,424,519,1
440,900,792,346,2
441,754,793,26,1
442,710,588,339,1
443,93,656,61,2
444,281,412,65,1
445,99,175,269,1
446,68,733,968,1
447,836,610,764,2
448,94,664,819,2
449,571,268,980,1
450,420,898,283,1
451,899,431,965,2
452,149,114,400,1
453,563,1000,426,1
454,702,440,497,1
455,680,776,129,2
456,737,86,772,2
457,958,834,352,2
458,15,878,929,1
459,379,701,395,1
460,534,909,239,2
461,389,825,406,2
462,995,150,127,1
463,785,980,875,2
464,688,345,729,1
465,701,333,152,1
466,692,656,889,1
467,558,97,741,1
468,12,696,681,1
469,778,325,369,2
470,13,899,494,1
471,840,224,682,1
472,222,613,248,1
473,292,160,753,1
474,465,113,527,1
475,410,251,335,2
476,350,863,525,1
477,642,364,181,1
478,316,79,981,1
479,789,958,221,2
480,541,927,121,1
481,325,825,892,1
482,514,389,42,1
483,123,761,868,2
484,290,365,859,1
485,60,593,938,2
486,937,740,309,1
487,645,507,406,2
488,376,947,633,2
489,342,61,222,2
490,421,688,356,2
491,70,707,498,2
492,335,505,277,1
493,185,620,704,1
494,711,806,448,2
495,174,889,445,2
496,566,16,864,1
497,213,822,722,2
498,456,650,52,2
499,257,390,942,2
500,62,547,386,2
501,737,703,947,1
502,667,556,81,2
503,580,666,640,1
504,34,529,203,2
505,288,812,439,2
506,105,826,691,1
507,583,297,274,1
508,362,45,595,1
509,749,306,974,2
510,776,360,318,2
511,491,209,671,1
512,274,958,866,1
513,365,787,772,2
514,127,50,910,2
515,823,227,834,1
516,390,942,492,2
517,864,905,359,1
518,39,537,433,2
519,922,623,977,2
520,929,218,101,1
521,133,167,747,2
522,232,154,980,2
523,112,553,254,2
524,503,57,7,1
525,296,255,83,1
526,88,395,861,1
527,723,830,840,2
528,460,374,677,2
529,819,357,860,1
530,442,218,357,1
531,46,560,10,2
532,758,74,539,1
533,65,739,421,1
534,4,109,108,1
535,732,532,583,2
536,989,916,862,1
537,298,76,522,1
538,317,546,462,1
539,58,798,155,1
540,273,685,945,2
541,84,372,899,1
542,456,734,833,1
543,477,669,613,1
544,219,777,707,1
545,901,974,746,1
546,74,634,387,1
547,518,602,948,2
548,874,789,802,2
549,962,508,573,2
550,44,438,55,2
551,462,9,253,2
552,860,98,665,2
553,862,233,795,1
554,141,685,837,1
555,733,160,191,1
556,777,904,822,2
557,123,158,902,2
558,861,720,433,1
559,587,235,918,1
560,357,895,598,1
561,377,447,718,1
562,20,85,435,1
563,296,482,123,2
564,570,402,739,1
565,77,822,313,2
566,315,781,487,1
567,353,179,797,2
568,678,340,769,2
569,61,404,546,1
570,600,828,838,2
571,679,38,389,2
572,808,590,558,1
573,478,898,108,2
574,28,933,77,2
575,646,812,928,1
576,864,394,349,2
577,246,368,172,1
578,901,303,992,1
579,594,791,338,1
580,484,728,272,1
581,146,787,200,1
582,464,172,185,2
583,880,61,469,1
584,291,567,870,2
585,606,63,814,2
586,920,617,24,1
587,893,879,142,1
588,14,64,970,2
589,368,89,257,2
590,958,2,124,1
591,286,10,63,2
592,217,150,152,2
593,209,918,989,1
594,848,457,166,2
595,637,473,877,1
596,397,99,20,2
597,435,219,817,1
598,543,760,875,1
599,989,698,199,1
600,693,829,720,2
601,474,798,944,2
602,463,277,889,2
603,402,985,318,1
604,432,363,316,2
605,256,712,8,1
606,22,22,957,1
607,835,865,464,1
608,406,343,907,2
609,238,605,870,1
610,338,311,731,2
611,247,348,297,1
612,926,126,454,2
613,951,713,620,1
614,907,635,742,1
615,350,160,95,1
616,72,786,841,1
617,127,605,608,1
618,412,415,286,1
619,909,900,913,1
620,421,790,666,2
621,617,335,109,1
622,385,47,410,2
623,383,379,190,1
624,755,853,920,1
625,609,619,208,2
626,230,24,154,1
627,815,81,383,1
628,167,877,802,1
629,772,514,385,1
630,887,114,799,1
631,453,910,611,1
632,360,416,565,2
633,985,956,559,2
634,84,835,771,1
635,103,1000,100,2
636,837,935,378,2
637,662,916,413,1
638,556,360,627,2
639,138,656,611,1
640,731,320,715,1
641,631,89,534,2
642,883,840,775,2
643,923,787,286,2
644,548,533,383,2
645,150,289,164,1
646,481,257,934,2
647,784,525,704,2
648,73,870,605,1
649,662,663,447,1
650,987,948,690,1
651,321,244,131,2
652,512,102,121,2
653,347,710,440,2
654,126,504,1,1
655,575,86,246,2
656,300,650,947,2
657,802,826,505,2
658,186,832,132,2
659,928,819,203,1
660,560,789,49,2
661,611,817,630,1
662,834,681,401,1
663,283,411,196,1
664,998,349,958,2
665,867,916,703,2
666,382,67,158,2
667,405,464,909,1
668,450,52,737,1
669,823,484,510,1
670,289,693,156,2
671,301,443,312,1
672,258,792,53,2
673,422,772,524,2
674,912,33,27,2
675,585,686,145,2
676,408,838,152,1
677,908,135,735,2
678,97,189,428,1
679,220,687,171,1
680,648,80,659,2
681,178,73,861,2
682,867,765,769,2
683,231,891,840,1
684,225,170,89,1
685,21,506,253,2
686,857,239,992,2
687,842,303,513,2
688,90,294,643,2
689,318,157,250,2
690,816,888,268,1
691,496,100,30,2
692,463,697,881,1
693,234,825,737,1
694,864,523,985,1
695,623,570,502,1
696,555,808,309,1
697,282,726,536,2
698,455,731,578,1
699,371,132,587,1
700,757,609,730,1
701,406,539,571,2
702,792,412,843,2
703,586,593,665,2
704,460,252,269,2
705,527,38,689,1
706,432,119,439,1
707,325,664,10,2
708,426,190,766,2
709,519,81,438,1
710,257,522,483,1
711,932,942,398,2
712,94,620,805,1
713,847,466,790,2
714,311,654,814,1
715,507,802,787,2
716,43,582,849,1
717,606,463,309,2
718,793,837,29,2
719,786,218,559,1
720,492,651,344,2
721,426,967,823,2
722,648,404,10,1
723,2,888,486,1
724,495,303,607,2
725,341,354,839,2
726,131,622,343,1
727,279,533,181,1
728,347,157,188,2
729,808,402,284,2
730,397,810,655,1
731,932,116,810,2
732,763,855,598,2
733,815,510,968,1
734,906,698,985,2
735,41,716,191,2
736,386,197,918,2
737,392,990,89,1
738,827,529,159,1
739,297,880,705,1
740,309,826,382,1
741,175,464,848,1
742,978,858,416,1
743,232,706,645,2
744,274,696,585,1
745,505,616,879,2
746,730,82,371,1
747,738,699,476,2
748,61,374,791,1
749,327,901,914,2
750,881,99,273,2
751,90,447,902,2
752,340,476,653,2
753,789,318,152,1
754,827,203,234,1
755,207,760,836,1
756,960,343,74,2
757,847,355,542,2
758,912,514,590,1
759,835,12,578,1
760,941,458,297,2
761,708,268,583,2
762,166,796,79,1
763,842,42,440,1
764,54,979,151,2
765,533,327,440,1
766,477,436,811,2
767,949,911,377,2
768,830,185,391,1
769,154,348,58,1
770,959,690,292,1
771,861,831,472,2
772,268,172,955,1
773,840,760,480,2
774,209,967,771,2
775,496,343,106,2
776,886,813,711,2
777,82,684,77,1
778,885,978,960,2
779,703,159,813,1
780,987,315,528,1
781,677,491,304,2
782,991,383,678,1
783,670,485,249,1
784,53,354,653,2
785,269,881,707,1
786,229,415,242,2
787,787,865,933,1
788,260,23,207,1
789,304,22,499,1
790,333,515,64,1
791,87,552,97,1
792,133,903,273,1
793,153,97,352,2
794,90,508,76,2
795,944,823,501,2
796,914,73,462,2
797,833,827,399,1
798,600,80,11,1
799,982,669,472,1
800,414,903,66,2
801,143,616,51,2
802,627,940,198,2
803,835,550,599,2
804,336,345,668,1
805,912,533,920,1
806,871,515,651,2
807,171,457,322,2
808,314,755,383,2
809,634,389,792,2
810,254,423,573,1
811,238,369,11,2
812,986,787,145,2
813,614,405,922,2
814,599,611,408,2
815,420,861,888,1
816,312,233,406,2
817,475,441,365,2
818,168,834,447,2
819,383,794,8,2
820,282,837,799,2
821,410,322,259,1
822,522,713,410,1
823,716,186,942,1
824,541,967,931,2
825,827,423,456,1
826,47,302,539,2
827,169,276,141,1
828,583,168,433,1
829,136,92,537,2
830,660,15,723,2
831,439,32,157,2
832,226,656,20,1
833,187,650,229,2
834,328,962,291,1
835,6,715,40,1
836,567,614,2,1
837,984,720,350,2
838,606,293,954,2
839,932,959,911,2
840,116,609,380,1
841,858,850,463,2
842,637,856,253,1
843,28,875,875,2
844,660,306,347,1
845,386,863,159,2
846,173,743,446,1
847,99,144,764,1
848,58,976,669,2
849,725,65,515,2
850,467,597,182,1
851,717,579,1000,1
852,207,872,768,1
853,661,837,64,1
854,101,298,380,2
855,432,346,70,1
856,687,637,727,2
857,642,356,931,1
858,396,280,299,1
859,911,822,692,1
860,675,319,45,1
861,148,994,531,1
862,77,474,121,1
863,24,520,910,2
864,271,725,659,2
865,564,551,483,2
866,230,608,879,2
867,355,39,298,2
868,942,325,40,2
869,283,759,464,2
870,151,920,800,2
871,554,476,777,1
872,471,605,381,2
873,928,300,166,1
874,244,741,319,1
875,74,547,942,2
876,684,502,728,2
877,399,249,64,2
878,875,807,51,1
879,814,87,185,1
880,732,512,56,2
881,476,581,755,2
882,601,629,483,1
883,69,635,307,2
884,741,710,690,1
885,410,577,497,1
886,240,674,163,1
887,998,479,776,1
888,869,87,687,2
889,711,805,928,2
890,255,344,397,2
891,925,722,371,2
892,720,256,694,2
893,117,733,447,1
894,765,245,73,1
895,561,786,497,1
896,856,600,778,1
897,967,857,610,1
898,101,270,368,2
899,22,281,678,2
900,58,258,376,2
901,146,532,93,1
902,171,93,611,1
903,528,305,23,1
904,202,328,283,2
905,449,884,412,1
906,346,890,997,1
907,23,82,440,2
908,511,795,395,2
909,265,131,698,2
910,715,645,103,2
911,484,911,59,1
912,471,941,563,1
913,123,257,328,1
914,89,437,88,1
915,226,633,766,2
916,163,712,712,1
917,681,87,500,1
918,708,476,552,2
919,245,898,534,1
920,424,971,318,2
921,64,990,927,2
922,896,485,547,1
923,180,836,554,2
924,423,598,855,1
925,170,567,757,1
926,800,339,721,2
927,572,93,510,1
928,378,873,584,1
929,247,753,628,2
930,384,971,35,2
931,62,730,844,2
932,31,195,411,1
933,169,194,876,1
934,561,21,789,1
935,93,866,343,1
936,708,737,712,2
937,591,638,37,2
938,179,168,614,2
939,847,330,81,1
940,246,346,277,1
941,955,702,243,2
942,736,595,87,1
943,861,224,617,2
944,750,277,20,2
945,517,323,65,1
946,428,523,433,1
947,191,287,247,2
948,136,288,528,1
949,712,499,35,2
950,686,557,71,2
951,934,830,192,2
952,943,375,307,1
953,73,745,346,1
954,218,856,577,2
955,559,769,663,2
956,406,85,341,1
957,815,953,651,1
958,842,70,227,2
959,461,953,542,1
960,356,47,235,2
961,504,95,499,2
962,238,483,384,2
963,491,958,838,1
964,580,200,676,1
965,162,648,675,2
966,703,822,164,2
967,183,961,935,1
968,48,718,914,1
969,174,122,408,2
970,64,18,508,2
971,337,552,149,2
972,838,438,5,1
973,987,771,929,2
974,619,347,873,1
975,117,73,771,1
976,731,481,621,2
977,148,700,18,2
978,239,821,443,1
979,676,377,803,1
980,959,394,432,1
981,859,488,394,1
982,202,731,413,2
983,419,483,105,2
984,649,78,135,1
985,48,226,312,2
986,522,584,567,2
987,236,564,289,2
988,667,915,490,2
989,346,549,493,2
990,708,639,193,2
991,852,674,904,1
992,640,200,386,1
993,461,426,908,2
994,876,375,380,1
995,382,88,107,2
996,990,53,821,2
997,459,114,740,1
998,457,88,897,1
999,654,927,117,1
1000,729,403,903,2
