ID_HISTORIAL,ID_USUARIO,ID_CURSO,PERIODO,ANNO,OBSERVACIONES,CALIFICACION,ID_ESTADO
61,324,387,FIRST SEMESTER,2017,student demonstrated strong understanding of the material,73,1
62,829,680,FIRST SEMESTER,2014,student asked insightful questions,64,2
63,762,474,THIRD SEMESTER,2016,student showed improvement in test scores,41,2
64,398,422,SECOND SEMESTER,0,student demonstrated strong understanding of the material,83,1
65,448,376,FIRST SEMESTER,2010,student asked insightful questions,44,1
66,848,228,SECOND SEMESTER,2008,student showed improvement in test scores,96,2
67,88,517,SUMMER SEMESTER,2019,student asked insightful questions,75,1
68,845,751,SUMMER SEMESTER,2015,student was absent without notice,17,1
69,251,241,SECOND SEMESTER,2015,student showed improvement in test scores,29,2
70,26,815,SUMMER SEMESTER,2010,student was absent without notice,18,2
71,40,34,SECOND SEMESTER,2004,student needed extra help with the lesson,5,1
72,690,895,SECOND SEMESTER,2011,student was absent without notice,8,1
73,917,843,SECOND SEMESTER,2003,student participated actively in discussion,92,1
74,39,380,FIRST SEMESTER,2015,student asked insightful questions,12,1
75,308,919,THIRD SEMESTER,2019,student completed assignment on time,90,1
76,293,420,SECOND SEMESTER,2020,student demonstrated strong understanding of the material,74,1
77,767,833,SECOND SEMESTER,2015,student arrived late to class,16,1
78,544,74,FIRST SEMESTER,2020,student exhibited disruptive behavior,68,2
79,143,421,SUMMER SEMESTER,2003,student arrived late to class,34,2
80,23,604,SECOND SEMESTER,2014,student exhibited disruptive behavior,60,1
81,337,149,THIRD SEMESTER,2014,student asked insightful questions,20,2
82,83,801,WINTER SEMESTER,2015,student arrived late to class,77,1
83,124,605,FIRST SEMESTER,2012,student asked insightful questions,31,2
84,380,185,SUMMER SEMESTER,2017,student exhibited disruptive behavior,27,2
85,94,293,WINTER SEMESTER,2013,student arrived late to class,95,2
86,584,659,THIRD SEMESTER,2006,student showed improvement in test scores,77,1
87,568,949,THIRD SEMESTER,2007,student showed improvement in test scores,97,1
88,334,701,FIRST SEMESTER,2012,student arrived late to class,1,2
89,535,248,SECOND SEMESTER,2014,student showed improvement in test scores,27,2
90,304,592,SECOND SEMESTER,0,student exhibited disruptive behavior,7,2
91,16,726,THIRD SEMESTER,2014,student exhibited disruptive behavior,47,1
92,493,252,FIRST SEMESTER,2009,student exhibited disruptive behavior,88,1
93,827,631,FIRST SEMESTER,2018,student worked well in group projects,4,1
94,494,607,FIRST SEMESTER,2019,student asked insightful questions,60,2
95,119,594,SECOND SEMESTER,2017,student was absent without notice,55,1
96,264,900,FIRST SEMESTER,2014,student completed assignment on time,36,1
97,982,542,WINTER SEMESTER,2015,student asked insightful questions,7,1
98,932,299,SUMMER SEMESTER,2013,student arrived late to class,32,1
99,498,505,SUMMER SEMESTER,2019,student exhibited disruptive behavior,4,2
100,678,367,SECOND SEMESTER,2014,student showed improvement in test scores,99,2
101,265,991,SECOND SEMESTER,2009,student arrived late to class,27,2
102,530,807,WINTER SEMESTER,2009,student showed improvement in test scores,23,1
103,552,408,THIRD SEMESTER,2014,student asked insightful questions,82,1
104,908,728,SECOND SEMESTER,2004,student asked insightful questions,96,1
105,232,88,WINTER SEMESTER,2011,student worked well in group projects,38,1
106,130,534,THIRD SEMESTER,2016,student exhibited disruptive behavior,39,1
107,40,360,SECOND SEMESTER,2004,student exhibited disruptive behavior,71,1
108,547,299,SECOND SEMESTER,2006,student completed assignment on time,63,1
109,537,912,WINTER SEMESTER,2015,student arrived late to class,8,1
110,642,435,SECOND SEMESTER,2013,student completed assignment on time,25,1
111,346,889,FIRST SEMESTER,1998,student exhibited disruptive behavior,48,2
112,203,641,SECOND SEMESTER,2006,student needed extra help with the lesson,90,2
113,394,957,FIRST SEMESTER,2012,student needed extra help with the lesson,88,1
114,963,945,THIRD SEMESTER,2015,student demonstrated strong understanding of the material,58,1
115,263,365,SECOND SEMESTER,2019,student worked well in group projects,68,2
116,825,191,SECOND SEMESTER,2005,student needed extra help with the lesson,36,1
117,189,574,THIRD SEMESTER,2014,student showed improvement in test scores,77,1
118,394,445,WINTER SEMESTER,2016,student completed assignment on time,16,2
119,348,735,FIRST SEMESTER,2010,student demonstrated strong understanding of the material,96,2
120,67,737,SUMMER SEMESTER,2017,student asked insightful questions,35,1
121,604,808,SUMMER SEMESTER,2015,student needed extra help with the lesson,81,1
122,922,568,FIRST SEMESTER,2015,student completed assignment on time,56,1
123,87,114,SUMMER SEMESTER,2014,student was absent without notice,78,2
124,675,288,THIRD SEMESTER,2004,student exhibited disruptive behavior,64,1
125,562,163,SECOND SEMESTER,2011,student demonstrated strong understanding of the material,11,1
126,526,406,SUMMER SEMESTER,2008,student worked well in group projects,40,2
127,410,456,SECOND SEMESTER,2016,student participated actively in discussion,1,1
128,385,320,WINTER SEMESTER,2006,student exhibited disruptive behavior,51,2
129,789,83,SECOND SEMESTER,2010,student exhibited disruptive behavior,60,1
130,750,556,SUMMER SEMESTER,2010,student asked insightful questions,18,1
131,57,366,WINTER SEMESTER,2016,student worked well in group projects,11,1
132,429,605,THIRD SEMESTER,2004,student completed assignment on time,94,1
133,709,905,WINTER SEMESTER,2020,student was absent without notice,64,1
134,860,849,FIRST SEMESTER,2016,student needed extra help with the lesson,35,1
135,38,674,SECOND SEMESTER,2018,student needed extra help with the lesson,4,2
136,810,670,FIRST SEMESTER,2006,student worked well in group projects,34,1
137,318,371,WINTER SEMESTER,2016,student showed improvement in test scores,61,2
138,702,148,FIRST SEMESTER,2019,student participated actively in discussion,20,2
139,698,187,FIRST SEMESTER,2003,student exhibited disruptive behavior,69,2
140,869,796,FIRST SEMESTER,1996,student asked insightful questions,96,1
141,971,647,SUMMER SEMESTER,2010,student worked well in group projects,3,1
142,933,650,SUMMER SEMESTER,2021,student completed assignment on time,28,2
143,708,635,WINTER SEMESTER,2015,student arrived late to class,85,2
144,708,533,FIRST SEMESTER,2008,student worked well in group projects,89,1
145,709,300,FIRST SEMESTER,2012,student worked well in group projects,84,2
146,985,107,FIRST SEMESTER,2020,student showed improvement in test scores,45,2
147,636,110,THIRD SEMESTER,2000,student demonstrated strong understanding of the material,14,2
148,462,804,SUMMER SEMESTER,2016,student showed improvement in test scores,89,2
149,791,883,THIRD SEMESTER,2012,student participated actively in discussion,97,1
150,839,376,THIRD SEMESTER,2014,student was absent without notice,15,1
151,747,320,SUMMER SEMESTER,2007,student worked well in group projects,42,2
152,533,674,THIRD SEMESTER,2014,student asked insightful questions,42,2
153,578,234,THIRD SEMESTER,0,student exhibited disruptive behavior,60,2
154,285,625,WINTER SEMESTER,2013,student arrived late to class,55,2
155,468,687,FIRST SEMESTER,1999,student completed assignment on time,23,1
156,951,945,SUMMER SEMESTER,2017,student arrived late to class,36,2
157,828,844,THIRD SEMESTER,2005,student asked insightful questions,8,2
158,351,430,THIRD SEMESTER,2004,student exhibited disruptive behavior,26,2
159,944,132,THIRD SEMESTER,2016,student needed extra help with the lesson,48,2
160,982,735,FIRST SEMESTER,2014,student asked insightful questions,30,1
161,501,129,SECOND SEMESTER,2003,student needed extra help with the lesson,92,2
162,472,648,SECOND SEMESTER,2006,student exhibited disruptive behavior,62,1
163,593,192,FIRST SEMESTER,2002,student needed extra help with the lesson,44,1
164,593,912,SECOND SEMESTER,2013,student completed assignment on time,56,2
165,445,36,FIRST SEMESTER,2016,student exhibited disruptive behavior,9,1
166,314,129,THIRD SEMESTER,2004,student exhibited disruptive behavior,28,1
167,672,206,WINTER SEMESTER,2019,student was absent without notice,64,2
168,899,606,SUMMER SEMESTER,2003,student completed assignment on time,32,2
169,275,264,THIRD SEMESTER,2016,student demonstrated strong understanding of the material,3,1
170,339,737,SUMMER SEMESTER,2009,student participated actively in discussion,13,2
171,567,907,SECOND SEMESTER,2020,student exhibited disruptive behavior,24,2
172,743,792,WINTER SEMESTER,0,student participated actively in discussion,78,2
173,238,196,THIRD SEMESTER,2017,student asked insightful questions,37,2
174,709,152,FIRST SEMESTER,2013,student completed assignment on time,33,2
175,15,383,SECOND SEMESTER,2015,student worked well in group projects,65,1
176,634,864,THIRD SEMESTER,2013,student completed assignment on time,25,1
177,436,347,FIRST SEMESTER,2019,student exhibited disruptive behavior,88,1
178,918,664,WINTER SEMESTER,2008,student needed extra help with the lesson,87,2
179,223,446,SECOND SEMESTER,2010,student completed assignment on time,62,1
180,517,956,WINTER SEMESTER,2013,student demonstrated strong understanding of the material,49,2
181,934,786,SUMMER SEMESTER,2014,student demonstrated strong understanding of the material,81,1
182,797,578,SUMMER SEMESTER,2010,student demonstrated strong understanding of the material,35,2
183,919,469,SECOND SEMESTER,2017,student was absent without notice,57,1
184,807,652,SECOND SEMESTER,2010,student demonstrated strong understanding of the material,71,2
185,976,149,THIRD SEMESTER,2016,student completed assignment on time,42,2
186,720,879,FIRST SEMESTER,2006,student needed extra help with the lesson,72,2
187,600,105,SECOND SEMESTER,2013,student worked well in group projects,39,2
188,384,289,FIRST SEMESTER,2017,student arrived late to class,30,1
189,374,79,SUMMER SEMESTER,2011,student exhibited disruptive behavior,18,2
190,140,864,WINTER SEMESTER,2005,student demonstrated strong understanding of the material,52,1
191,264,505,WINTER SEMESTER,2020,student worked well in group projects,40,2
192,98,501,FIRST SEMESTER,2017,student showed improvement in test scores,80,2
193,816,21,SECOND SEMESTER,2012,student completed assignment on time,16,1
194,965,443,SECOND SEMESTER,2010,student completed assignment on time,37,1
195,134,564,FIRST SEMESTER,2020,student showed improvement in test scores,48,1
196,602,474,FIRST SEMESTER,2016,student worked well in group projects,9,2
197,894,855,SUMMER SEMESTER,2012,student demonstrated strong understanding of the material,25,1
198,659,68,FIRST SEMESTER,2014,student needed extra help with the lesson,68,2
199,787,429,SUMMER SEMESTER,2017,student completed assignment on time,79,2
200,25,703,SUMMER SEMESTER,2011,student asked insightful questions,12,2
201,588,288,THIRD SEMESTER,2020,student showed improvement in test scores,68,1
202,499,38,SECOND SEMESTER,2007,student needed extra help with the lesson,3,1
203,378,219,WINTER SEMESTER,2013,student was absent without notice,57,2
204,904,425,THIRD SEMESTER,2013,student arrived late to class,3,1
205,407,87,FIRST SEMESTER,2015,student showed improvement in test scores,71,2
206,411,875,SECOND SEMESTER,2020,student showed improvement in test scores,57,2
207,711,271,WINTER SEMESTER,2008,student worked well in group projects,59,1
208,386,272,THIRD SEMESTER,2016,student arrived late to class,5,1
209,568,986,SECOND SEMESTER,2010,student was absent without notice,60,1
210,847,136,WINTER SEMESTER,2014,student needed extra help with the lesson,92,1
211,468,273,SECOND SEMESTER,2020,student needed extra help with the lesson,32,1
212,965,234,THIRD SEMESTER,2002,student needed extra help with the lesson,41,1
213,460,757,WINTER SEMESTER,2020,student demonstrated strong understanding of the material,62,1
214,605,110,WINTER SEMESTER,2013,student arrived late to class,89,1
215,157,466,THIRD SEMESTER,2012,student needed extra help with the lesson,27,1
216,562,261,SECOND SEMESTER,2016,student showed improvement in test scores,54,2
217,510,491,FIRST SEMESTER,2012,student asked insightful questions,91,1
218,475,924,FIRST SEMESTER,2008,student showed improvement in test scores,33,1
219,562,241,WINTER SEMESTER,2013,student demonstrated strong understanding of the material,93,1
220,66,377,SECOND SEMESTER,0,student showed improvement in test scores,51,2
221,854,624,WINTER SEMESTER,2006,student needed extra help with the lesson,0,1
222,473,195,FIRST SEMESTER,2003,student arrived late to class,30,2
223,735,553,SUMMER SEMESTER,2019,student demonstrated strong understanding of the material,72,2
224,308,158,FIRST SEMESTER,2004,student showed improvement in test scores,50,2
225,294,654,SECOND SEMESTER,2009,student arrived late to class,11,2
226,967,385,SUMMER SEMESTER,2013,student needed extra help with the lesson,69,2
227,886,303,SECOND SEMESTER,2019,student exhibited disruptive behavior,2,1
228,513,764,SECOND SEMESTER,2009,student showed improvement in test scores,57,2
229,167,425,SECOND SEMESTER,2021,student arrived late to class,62,2
230,351,43,FIRST SEMESTER,2012,student demonstrated strong understanding of the material,38,1
231,166,164,THIRD SEMESTER,2015,student demonstrated strong understanding of the material,97,1
232,606,746,FIRST SEMESTER,2011,student arrived late to class,24,1
233,520,62,THIRD SEMESTER,2007,student worked well in group projects,23,2
234,179,682,FIRST SEMESTER,2003,student arrived late to class,55,1
235,517,759,THIRD SEMESTER,2013,student asked insightful questions,36,1
236,223,866,SECOND SEMESTER,2017,student asked insightful questions,51,1
237,976,266,SUMMER SEMESTER,2016,student exhibited disruptive behavior,71,2
238,102,646,FIRST SEMESTER,2013,student showed improvement in test scores,94,1
239,215,443,SUMMER SEMESTER,2017,student arrived late to class,70,2
240,580,672,WINTER SEMESTER,2016,student exhibited disruptive behavior,9,1
241,326,373,SECOND SEMESTER,2012,student exhibited disruptive behavior,55,2
242,126,885,WINTER SEMESTER,2007,student worked well in group projects,50,2
243,876,217,SECOND SEMESTER,0,student participated actively in discussion,9,2
244,132,950,WINTER SEMESTER,2004,student arrived late to class,8,2
245,794,205,SUMMER SEMESTER,2009,student arrived late to class,24,1
246,723,121,SECOND SEMESTER,2004,student worked well in group projects,92,1
247,781,581,WINTER SEMESTER,2014,student arrived late to class,76,2
248,643,325,THIRD SEMESTER,2017,student needed extra help with the lesson,64,2
249,634,220,WINTER SEMESTER,2017,student arrived late to class,29,2
250,641,305,FIRST SEMESTER,2010,student participated actively in discussion,97,1
251,995,174,THIRD SEMESTER,2004,student participated actively in discussion,87,2
252,769,421,WINTER SEMESTER,2013,student asked insightful questions,42,2
253,188,223,WINTER SEMESTER,2013,student was absent without notice,89,1
254,639,656,THIRD SEMESTER,2003,student asked insightful questions,57,1
255,587,838,WINTER SEMESTER,2008,student demonstrated strong understanding of the material,73,1
256,286,688,FIRST SEMESTER,2014,student arrived late to class,29,2
257,985,802,THIRD SEMESTER,2018,student was absent without notice,47,2
258,898,978,SECOND SEMESTER,2014,student needed extra help with the lesson,31,2
259,82,537,FIRST SEMESTER,2009,student was absent without notice,89,1
260,916,586,WINTER SEMESTER,2009,student exhibited disruptive behavior,59,1
261,977,853,WINTER SEMESTER,2017,student arrived late to class,15,2
262,821,691,WINTER SEMESTER,2015,student demonstrated strong understanding of the material,28,2
263,176,121,WINTER SEMESTER,2016,student showed improvement in test scores,3,1
264,471,312,SUMMER SEMESTER,2011,student was absent without notice,48,2
265,609,862,SECOND SEMESTER,2008,student was absent without notice,17,2
266,996,381,THIRD SEMESTER,2015,student worked well in group projects,98,1
267,506,825,SUMMER SEMESTER,2019,student needed extra help with the lesson,26,1
268,717,601,SUMMER SEMESTER,2015,student showed improvement in test scores,33,2
269,179,147,SUMMER SEMESTER,2017,student was absent without notice,43,1
270,632,697,SUMMER SEMESTER,2010,student was absent without notice,93,2
271,863,637,SUMMER SEMESTER,2020,student showed improvement in test scores,68,2
272,94,420,THIRD SEMESTER,2019,student needed extra help with the lesson,47,2
273,271,530,FIRST SEMESTER,2014,student needed extra help with the lesson,47,1
274,548,674,FIRST SEMESTER,2017,student showed improvement in test scores,70,2
275,80,845,THIRD SEMESTER,2013,student asked insightful questions,7,2
276,231,390,SECOND SEMESTER,2009,student worked well in group projects,29,2
277,425,738,THIRD SEMESTER,2011,student exhibited disruptive behavior,9,2
278,212,978,SECOND SEMESTER,2011,student completed assignment on time,4,1
279,72,353,SECOND SEMESTER,2006,student participated actively in discussion,59,2
280,623,410,SUMMER SEMESTER,2013,student asked insightful questions,75,2
281,362,587,FIRST SEMESTER,2012,student participated actively in discussion,34,2
282,183,481,FIRST SEMESTER,2011,student showed improvement in test scores,30,1
283,898,718,FIRST SEMESTER,2005,student demonstrated strong understanding of the material,30,2
284,500,744,THIRD SEMESTER,0,student participated actively in discussion,13,1
285,392,853,THIRD SEMESTER,2010,student exhibited disruptive behavior,5,1
286,260,43,SECOND SEMESTER,2019,student participated actively in discussion,62,1
287,789,796,SUMMER SEMESTER,2001,student showed improvement in test scores,2,1
288,782,17,WINTER SEMESTER,2014,student was absent without notice,5,1
289,847,75,THIRD SEMESTER,2013,student exhibited disruptive behavior,11,1
290,201,864,SUMMER SEMESTER,2014,student participated actively in discussion,83,2
291,724,663,FIRST SEMESTER,2009,student arrived late to class,58,1
292,819,169,WINTER SEMESTER,2019,student showed improvement in test scores,97,2
293,564,563,SECOND SEMESTER,2016,student worked well in group projects,63,2
294,393,869,FIRST SEMESTER,2012,student exhibited disruptive behavior,37,1
295,100,772,SUMMER SEMESTER,2014,student arrived late to class,90,2
296,961,667,WINTER SEMESTER,2013,student showed improvement in test scores,42,2
297,911,536,THIRD SEMESTER,2008,student completed assignment on time,24,2
298,658,83,SECOND SEMESTER,2008,student worked well in group projects,18,2
299,827,809,SECOND SEMESTER,2014,student demonstrated strong understanding of the material,94,1
300,438,344,WINTER SEMESTER,2011,student arrived late to class,79,2
301,372,505,THIRD SEMESTER,2011,student arrived late to class,80,2
302,78,550,SUMMER SEMESTER,2020,student was absent without notice,69,1
303,706,980,WINTER SEMESTER,2006,student completed assignment on time,93,1
304,519,113,THIRD SEMESTER,2020,student needed extra help with the lesson,98,1
305,846,11,FIRST SEMESTER,2005,student worked well in group projects,14,2
306,161,901,THIRD SEMESTER,2004,student demonstrated strong understanding of the material,54,1
307,49,937,THIRD SEMESTER,2014,student worked well in group projects,82,1
308,224,758,SUMMER SEMESTER,2004,student asked insightful questions,46,1
309,730,444,WINTER SEMESTER,2001,student worked well in group projects,17,1
310,649,819,SUMMER SEMESTER,2016,student showed improvement in test scores,29,2
311,887,816,FIRST SEMESTER,2011,student demonstrated strong understanding of the material,98,1
312,48,500,SECOND SEMESTER,2014,student demonstrated strong understanding of the material,88,2
313,856,795,SUMMER SEMESTER,2005,student showed improvement in test scores,3,2
314,745,525,THIRD SEMESTER,2017,student participated actively in discussion,21,1
315,571,548,THIRD SEMESTER,2015,student exhibited disruptive behavior,12,1
316,980,258,SECOND SEMESTER,2008,student demonstrated strong understanding of the material,21,2
317,38,3,WINTER SEMESTER,2004,student worked well in group projects,66,1
318,316,762,SECOND SEMESTER,2013,student needed extra help with the lesson,27,2
319,219,945,SUMMER SEMESTER,2010,student arrived late to class,97,2
320,315,494,SUMMER SEMESTER,2016,student worked well in group projects,82,1
321,341,371,THIRD SEMESTER,2008,student asked insightful questions,28,1
322,470,538,FIRST SEMESTER,2004,student completed assignment on time,93,2
323,268,418,SUMMER SEMESTER,2019,student asked insightful questions,0,2
324,118,273,THIRD SEMESTER,2005,student demonstrated strong understanding of the material,36,1
325,617,377,SECOND SEMESTER,2014,student exhibited disruptive behavior,17,1
326,900,479,SUMMER SEMESTER,2012,student participated actively in discussion,69,2
327,44,534,FIRST SEMESTER,2012,student worked well in group projects,11,2
328,276,322,SUMMER SEMESTER,2016,student showed improvement in test scores,99,2
329,6,459,SECOND SEMESTER,1995,student exhibited disruptive behavior,23,2
330,420,78,THIRD SEMESTER,2017,student was absent without notice,42,2
331,349,684,WINTER SEMESTER,2004,student was absent without notice,6,2
332,447,457,SECOND SEMESTER,2007,student asked insightful questions,49,2
333,672,826,FIRST SEMESTER,2016,student arrived late to class,13,2
334,827,847,SECOND SEMESTER,2005,student needed extra help with the lesson,15,2
335,865,85,THIRD SEMESTER,2020,student needed extra help with the lesson,11,2
336,162,257,SECOND SEMESTER,2019,student demonstrated strong understanding of the material,17,2
337,577,166,SECOND SEMESTER,2007,student demonstrated strong understanding of the material,59,1
338,761,93,SUMMER SEMESTER,2011,student arrived late to class,84,1
339,297,782,THIRD SEMESTER,2014,student asked insightful questions,82,1
340,766,56,SECOND SEMESTER,2020,student demonstrated strong understanding of the material,88,1
341,786,667,THIRD SEMESTER,2012,student was absent without notice,85,1
342,857,28,FIRST SEMESTER,2015,student participated actively in discussion,34,2
343,441,450,SUMMER SEMESTER,2015,student exhibited disruptive behavior,33,2
344,944,85,THIRD SEMESTER,2016,student arrived late to class,66,2
345,805,576,SECOND SEMESTER,2015,student needed extra help with the lesson,55,2
346,320,166,WINTER SEMESTER,2014,student exhibited disruptive behavior,36,2
347,438,446,SECOND SEMESTER,2020,student was absent without notice,40,2
348,19,328,SUMMER SEMESTER,0,student needed extra help with the lesson,49,2
349,649,37,SECOND SEMESTER,2014,student worked well in group projects,48,1
350,788,672,SUMMER SEMESTER,2015,student exhibited disruptive behavior,57,1
351,796,914,FIRST SEMESTER,2007,student asked insightful questions,12,2
352,331,798,SECOND SEMESTER,2018,student needed extra help with the lesson,10,1
353,810,216,SUMMER SEMESTER,2010,student showed improvement in test scores,12,2
354,211,935,SUMMER SEMESTER,2005,student worked well in group projects,12,2
355,681,42,SECOND SEMESTER,2004,student exhibited disruptive behavior,14,2
356,530,583,WINTER SEMESTER,2014,student worked well in group projects,5,1
357,676,174,WINTER SEMESTER,2008,student showed improvement in test scores,88,2
358,990,202,FIRST SEMESTER,2012,student was absent without notice,79,2
359,777,512,SECOND SEMESTER,2005,student demonstrated strong understanding of the material,60,2
360,302,719,SUMMER SEMESTER,2013,student needed extra help with the lesson,1,1
361,541,229,SUMMER SEMESTER,2015,student worked well in group projects,30,1
362,697,812,SUMMER SEMESTER,2012,student was absent without notice,84,2
363,355,349,SUMMER SEMESTER,2017,student showed improvement in test scores,59,2
364,584,845,SUMMER SEMESTER,2010,student demonstrated strong understanding of the material,13,2
365,950,321,FIRST SEMESTER,2009,student showed improvement in test scores,11,2
366,103,510,FIRST SEMESTER,2007,student asked insightful questions,38,2
367,722,628,WINTER SEMESTER,2016,student arrived late to class,92,2
368,583,380,WINTER SEMESTER,2015,student participated actively in discussion,66,1
369,75,607,THIRD SEMESTER,2008,student exhibited disruptive behavior,26,1
370,772,992,SUMMER SEMESTER,2012,student demonstrated strong understanding of the material,93,1
371,89,799,WINTER SEMESTER,1999,student demonstrated strong understanding of the material,31,2
372,342,791,SECOND SEMESTER,2005,student arrived late to class,89,1
373,934,853,SUMMER SEMESTER,2012,student arrived late to class,62,1
374,66,177,SECOND SEMESTER,2005,student needed extra help with the lesson,50,2
375,869,949,SUMMER SEMESTER,0,student arrived late to class,56,1
376,448,545,SUMMER SEMESTER,2003,student showed improvement in test scores,56,1
377,870,398,WINTER SEMESTER,2012,student showed improvement in test scores,75,1
378,869,21,THIRD SEMESTER,2016,student was absent without notice,27,1
379,501,413,SECOND SEMESTER,2004,student needed extra help with the lesson,19,2
380,551,332,SECOND SEMESTER,2008,student participated actively in discussion,10,2
381,966,712,FIRST SEMESTER,2005,student showed improvement in test scores,53,1
382,818,450,WINTER SEMESTER,2013,student was absent without notice,8,2
383,596,358,FIRST SEMESTER,2012,student arrived late to class,55,1
384,595,561,SUMMER SEMESTER,2020,student needed extra help with the lesson,60,2
385,984,104,THIRD SEMESTER,2014,student needed extra help with the lesson,30,2
386,531,233,WINTER SEMESTER,2010,student was absent without notice,83,1
387,56,989,FIRST SEMESTER,2013,student exhibited disruptive behavior,36,1
388,495,761,THIRD SEMESTER,2017,student exhibited disruptive behavior,92,1
389,799,658,WINTER SEMESTER,2018,student needed extra help with the lesson,96,2
390,290,640,FIRST SEMESTER,2004,student participated actively in discussion,78,2
391,41,181,SECOND SEMESTER,2014,student was absent without notice,90,1
392,175,768,FIRST SEMESTER,2012,student was absent without notice,51,1
393,619,739,SECOND SEMESTER,2017,student demonstrated strong understanding of the material,16,2
394,196,657,THIRD SEMESTER,2018,student arrived late to class,70,2
395,360,850,SECOND SEMESTER,2017,student showed improvement in test scores,74,2
396,936,413,SUMMER SEMESTER,2008,student showed improvement in test scores,3,2
397,612,120,FIRST SEMESTER,2014,student completed assignment on time,100,1
398,425,566,FIRST SEMESTER,2011,student demonstrated strong understanding of the material,95,1
399,681,553,SECOND SEMESTER,2007,student worked well in group projects,61,2
